link,noc,job_title,salary
/7054/ca,NOC 7205,"Branch Supervisor, Pest Control",32.0
/7055/ca,NOC 7205,Insulation Supervisor,32.0
/7056/ca,NOC 7205,"Contractor, Interlocking Paving Stones",32.0
/7057/ca,NOC 7205,"Foreman/woman, Lathers",32.0
/7058/ca,NOC 7205,"Foreman/woman, Wood Shingle Roofers",32.0
/7059/ca,NOC 7205,"Contractor, Painting And Wallpapering",32.0
/7060/ca,NOC 7205,Brick Masonry Contractor,32.0
/7061/ca,NOC 7205,"Contractor, Plastering And Drywall Application",32.0
/7062/ca,NOC 7205,"Foreman/woman, Roofers",32.0
/7063/ca,NOC 7205,Roofing Supervisor,32.0
/7064/ca,NOC 7205,"Contractor, Septic Systems",32.0
/7065/ca,NOC 7205,"Contractor, Shingle Roofing",32.0
/7066/ca,NOC 7205,Contractor-floor Coverer,32.0
/7067/ca,NOC 7205,Drywaller-contractor,32.0
/7068/ca,NOC 7205,Contractor-plasterer,32.0
/7069/ca,NOC 7205,Decorating Foreman/woman - Construction,32.0
/7070/ca,NOC 7205,Asphalt Roofing Foreman/woman,32.0
/7071/ca,NOC 7205,Building Insulation Material Installation Foreman/woman,32.0
/7072/ca,NOC 7205,Concrete Finishing Foreman/woman,32.0
/7073/ca,NOC 7205,Fibre Insulators Foreman/woman,32.0
/7074/ca,NOC 7205,Fireproofing Plastering Foreman/woman,32.0
/7075/ca,NOC 7205,Foam Insulation Foreman/woman,32.0
/7076/ca,NOC 7205,"Foreman/woman, Glass Installers",32.0
/7077/ca,NOC 7205,"Foreman/woman, Glaziers",32.0
/7078/ca,NOC 7205,Insulation Foreman/woman,32.0
/7079/ca,NOC 7205,Marble Setting Foreman/woman,32.0
/7080/ca,NOC 7205,Paperhanging Foreman/woman,32.0
/7081/ca,NOC 7205,Waterproofing Foreman/woman,32.0
/7082/ca,NOC 7205,Painting Supervisor - Construction,32.0
/7083/ca,NOC 7205,Roof Shinglers Supervisor,32.0
/7084/ca,NOC 7205,Contractor-roofer (except Metal Roofs),32.0
/7085/ca,NOC 7205,Marble And Terrazzo Contractor-setter,32.0
/7086/ca,NOC 7205,"Foreman/woman, Hothouse Installers",32.0
/7087/ca,NOC 7205,Terrazzo Polishing Contractor,32.0
/7088/ca,NOC 7205,Cement Smoother Foreman/woman,32.0
/7089/ca,NOC 7205,Pool And Patio Contractor,32.0
/7090/ca,NOC 7205,Tile And Marble Contractor,32.0
/7091/ca,NOC 7304,Trainmaster,37.0
/7092/ca,NOC 7304,Railway Transport Operations Foreman/woman,37.0
/7093/ca,NOC 7304,Passenger Train Road Foreman/woman,37.0
/7094/ca,NOC 7304,Freight Train Road Foreman/woman,37.0
/7095/ca,NOC 7304,Railway Transport Operations Supervisor,37.0
/7096/ca,NOC 7304,Stationmaster,37.0
/7097/ca,NOC 7304,Yard Foreman/woman - Railway,37.0
/7098/ca,NOC 7304,"Foreman/woman, Railway Transport Operating Support",37.0
/7099/ca,NOC 7304,Road Foreman/woman - Railway Transport,37.0
/7100/ca,NOC 7304,Foreman/woman - Railway Transport,37.0
/7101/ca,NOC 7304,Yardmaster - Railway,37.0
/7102/ca,NOC 7305,"Dispatcher, Bus",27.5
/7103/ca,NOC 7305,Bus Inspector,27.5
/7104/ca,NOC 7305,"Controller, Subway",27.5
/7105/ca,NOC 7305,Delivery Drivers Foreman/woman,27.5
/7106/ca,NOC 7305,Delivery Drivers Supervisor,27.5
/7107/ca,NOC 7305,Driver-salesmen/women Supervisor,27.5
/7108/ca,NOC 7305,"Foreman/woman, Light Rail Transit (LRT) Operators",27.5
/7109/ca,NOC 7305,Subway Operators Foreman/woman,27.5
/7110/ca,NOC 7305,"Foreman/woman, Truck Drivers",27.5
/7111/ca,NOC 7305,"Foreman/woman, Urban Transit System",27.5
/7112/ca,NOC 7305,Ground Transit Inspector - Public Transit,27.5
/7113/ca,NOC 7305,"Inspector, Transit System",27.5
/7114/ca,NOC 7305,Bus Inspector-dispatcher,27.5
/7115/ca,NOC 7305,Mobile Canteen Service Supervisor,27.5
/7116/ca,NOC 7305,Transit Mobile Inspector,27.5
/7117/ca,NOC 7305,Subway Traffic Controller,27.5
/7118/ca,NOC 7305,Bus Drivers Supervisor,27.5
/7119/ca,NOC 7305,Chauffeurs Supervisor,27.5
/7120/ca,NOC 7305,"Supervisor, Light Rail Transit (LRT) Operators",27.5
/7121/ca,NOC 7305,"Supervisor, Moving Van Drivers",27.5
/7122/ca,NOC 7305,"Supervisor, School Bus Drivers",27.5
/7123/ca,NOC 7305,Street Railway Operators Supervisor,27.5
/7124/ca,NOC 7305,Subway And Streetcar Operators Supervisor,27.5
/7125/ca,NOC 7305,"Supervisor, Subway Operators",27.5
/7126/ca,NOC 7305,Chauffeurs And Taxi Drivers Supervisor,27.5
/7127/ca,NOC 7305,"Supervisor, Truck Drivers",27.5
/7128/ca,NOC 7305,Terminal Supervisor - Motor Transport,27.5
/7129/ca,NOC 7305,Traffic Inspector - Public Transit System,27.5
/7130/ca,NOC 7305,Traffic Supervisor - Motor Transport,27.5
/7131/ca,NOC 7305,"Foreman/woman, Truck Fleet",27.5
/7132/ca,NOC 7305,Trucking Contractor,27.5
/7133/ca,NOC 7305,Truck Driver-supervisor,27.5
/7134/ca,NOC 7305,Motor Transport Route Foreman/woman,27.5
/7135/ca,NOC 7232,Aircraft Jig And Template Maker,25.64
/7136/ca,NOC 7232,Aircraft Jig And Tool Maker,25.64
/7137/ca,NOC 7232,Tool And Die Maker Apprentice,25.64
/7138/ca,NOC 7232,Bench Die Sinker,25.64
/7139/ca,NOC 7232,Bench Stamping Die Maker,25.64
/7140/ca,NOC 7232,Bench Tool Maker,25.64
/7141/ca,NOC 7232,Carbide Tool Maker,25.64
/7142/ca,NOC 7232,Diamond Saw Maker,25.64
/7143/ca,NOC 7232,Diamond Tool Maker,25.64
/7144/ca,NOC 7232,Bench Die Cutter,25.64
/7145/ca,NOC 7232,"Die Sinker, Jewellery",25.64
/7146/ca,NOC 7232,Die Sinker - Metalworking,25.64
/7147/ca,NOC 7232,Die Finisher,25.64
/7148/ca,NOC 7232,Die Fitter,25.64
/7149/ca,NOC 7232,Die Maker,25.64
/7150/ca,NOC 7232,Die Cutter - Metalworking,25.64
/7151/ca,NOC 7232,Die Maker - Jewellery,25.64
/7152/ca,NOC 7232,"Die Maker, Wire-drawing",25.64
/7153/ca,NOC 7232,Die Reamer,25.64
/7154/ca,NOC 7232,Die Sinker,25.64
/7155/ca,NOC 7232,Die Repairer,25.64
/7156/ca,NOC 7232,Die Cutter,25.64
/7157/ca,NOC 7232,"Die Cutter, Jewellery",25.64
/7158/ca,NOC 7232,Extrusion Die Template Maker,25.64
/7159/ca,NOC 7232,Forging Die Maker,25.64
/7160/ca,NOC 7232,Gauge Maker - Tool And Die,25.64
/7161/ca,NOC 7232,Die Mouldmaker,25.64
/7162/ca,NOC 7232,Jig And Form Maker,25.64
/7163/ca,NOC 7232,Diecast Diemaker,25.64
/7164/ca,NOC 7232,Jig-bore Tool Maker,25.64
/7165/ca,NOC 7232,Jig Maker - Metal Products Manufacturing,25.64
/7166/ca,NOC 7232,Jig Maker,25.64
/7167/ca,NOC 7232,Journeyman/woman Tool And Die Maker,25.64
/7168/ca,NOC 7232,Metal Mould Finisher,25.64
/7169/ca,NOC 7232,Metal Mould Maker,25.64
/7170/ca,NOC 7232,Metal Patternmaker,25.64
/7171/ca,NOC 7232,Model Maker - Tool And Die,25.64
/7172/ca,NOC 7232,Motor Vehicle Jig Builder,25.64
/7173/ca,NOC 7232,Mould Maker - Plastics Processing,25.64
/7174/ca,NOC 7232,Mouldmaker - Aircraft,25.64
/7175/ca,NOC 7232,Mould Maker Apprentice,25.64
/7176/ca,NOC 7232,Metal Patternmaker Apprentice,25.64
/7177/ca,NOC 7232,Precision Tool Maker,25.64
/7178/ca,NOC 7232,Stamping Die Finisher,25.64
/7179/ca,NOC 7232,Steel-rule Die Maker,25.64
/7180/ca,NOC 7232,Template Maker - Tool And Die,25.64
/7181/ca,NOC 7232,Tire Mould Repairer,25.64
/7182/ca,NOC 7232,Tool And Die Maker,25.64
/7183/ca,NOC 7232,Injection Moulding Tool And Die Maker,25.64
/7184/ca,NOC 7232,Tool And Die Repairer,25.64
/7185/ca,NOC 7232,Tool Fitter,25.64
/7186/ca,NOC 7232,Tool Maintainer,25.64
/7187/ca,NOC 7232,Toolmaker,25.64
/7188/ca,NOC 7232,Tool Repairer,25.64
/7189/ca,NOC 7232,Bench Die Fitter,25.64
/7190/ca,NOC 7232,Forging Die Finisher,25.64
/7191/ca,NOC 7232,Bench Jig Maker,25.64
/7192/ca,NOC 7232,"Mouldmaker, Metal",25.64
/7193/ca,NOC 7232,Progressive Die Fitter,25.64
/7194/ca,NOC 7232,Jig Maker - Die Casting And Plastic Moulding,25.64
/7195/ca,NOC 7232,Injection Mouldmaker,25.64
/7196/ca,NOC 7232,Tool And Die Preparer,25.64
/7197/ca,NOC 7243,Apprentice Power System Electrician,41.23
/7198/ca,NOC 7243,"Maintainer, Voltage Regulator - Electrical Power System",41.23
/7199/ca,NOC 7243,Power Station Electrician,41.23
/7200/ca,NOC 7243,Electrical Powerhouse Electrician,41.23
/7201/ca,NOC 7243,Power Station Electrician - Electrical Power System,41.23
/7202/ca,NOC 7243,Relay Tester And Maintainer - Electrical Power System,41.23
/7203/ca,NOC 7243,Relay Tester And Repairer - Electrical Power System,41.23
/7204/ca,NOC 7243,Substation Electrician - Electrical Power System,41.23
/7205/ca,NOC 7243,Power System Electrician,41.23
/7207/ca,NOC 7243,Electrician - Electricity Production,41.23
/7208/ca,NOC 7243,Electrical Powerhouse Electrician - Electrical Power System,41.23
/7209/ca,NOC 7243,"Electrician, Electrical Substation - Electrical Power System",41.23
/7210/ca,NOC 7243,Power Electrician,41.23
/7211/ca,NOC 7244,Power Lineman/woman,38.46
/7212/ca,NOC 7244,Apprentice Line Maintainer - Electric Power Systems,38.46
/7213/ca,NOC 7244,Apprentice Lineman/woman - Electric Power Systems,38.46
/7214/ca,NOC 7244,Assistant Transmission Lineman/woman - Electric Power Systems,38.46
/7215/ca,NOC 7244,Cable Installer And Repairer - Electric Power Systems,38.46
/7216/ca,NOC 7244,Meter Installer - Electric Power Systems,38.46
/7217/ca,NOC 7244,Cable Repairer - Electric Power Systems,38.46
/7218/ca,NOC 7244,Cable Splicer - Electrical Power,38.46
/7219/ca,NOC 7244,Line Servicer - Electric Power Systems,38.46
/7220/ca,NOC 7244,Cable Installer - Electrical Power,38.46
/7221/ca,NOC 7244,Conduit Installer - Electric Power Systems,38.46
/7222/ca,NOC 7244,Construction Lineman/woman - Electric Power Systems,38.46
/7223/ca,NOC 7244,Construction Lineman/woman - Electrical Power Line,38.46
/7224/ca,NOC 7244,Power Line Repairer - Electric Power Systems,38.46
/7225/ca,NOC 7244,Electric Meter Setter - Electric Power Systems,38.46
/7226/ca,NOC 7244,Emergency Line Repairer - Electric Power Systems,38.46
/7227/ca,NOC 7244,Emergency Servicer - Electric Power Systems,38.46
/7228/ca,NOC 7244,High Voltage Lineman/woman - Electric Power Systems,38.46
/7229/ca,NOC 7244,Lead Lineman/woman - Electric Power Systems,38.46
/7230/ca,NOC 7244,Line Maintainer - Electric Power Systems,38.46
/7231/ca,NOC 7244,Line Patroller - Electric Power Systems,38.46
/7232/ca,NOC 7244,Line Repairer - Electric Power Systems,38.46
/7233/ca,NOC 7244,Lineman/woman - Electric Power Systems,38.46
/7234/ca,NOC 7244,Lineman/woman Trainee - Electric Power Systems,38.46
/7235/ca,NOC 9214,"Foreman/woman, Injection Moulding - Rubber And Plastic Manufacturing",24.51
/7236/ca,NOC 9214,Plastic Products Manufacturing Foreman/woman,24.51
/7237/ca,NOC 9214,Rubber Products Manufacturing Foreman/woman,24.51
/7238/ca,NOC 9214,"Foreman/woman, Tire Building",24.51
/7239/ca,NOC 9214,Automobile Tire Builders Foreman/woman,24.51
/7240/ca,NOC 9214,Millroom Foreman/woman - Rubber Products Manufacturing,24.51
/7241/ca,NOC 9217,Bleaching Foreman/woman - Textiles,20.0
/7242/ca,NOC 9217,Card Room Supervisor - Textiles,20.0
/7243/ca,NOC 9217,Dye Foreman/woman - Textiles,20.0
/7244/ca,NOC 9217,Dye Room Supervisor,20.0
/7245/ca,NOC 9217,Spun Yarn Preparation Foreman/woman,20.0
/7246/ca,NOC 9217,Finishing Supervisor - Textiles,20.0
/7247/ca,NOC 9217,Foreman/woman - Textile Processing,20.0
/7248/ca,NOC 9217,Finishing Department Foreman/woman - Textile Processing,20.0
/7249/ca,NOC 9217,"Foreman/woman, Inspection - Textiles",20.0
/7250/ca,NOC 9217,"Foreman/woman, Textile Processing",20.0
/7251/ca,NOC 9217,Knitting Foreman/woman - Textile Processing,20.0
/7252/ca,NOC 9217,Latex Carpet-backing Department Foreman/woman,20.0
/7253/ca,NOC 9217,"Foreman/woman, Preparation Department - Textile Processing",20.0
/7254/ca,NOC 9217,"Foreman/woman, Quality Control - Textile Processing",20.0
/7255/ca,NOC 9217,Spinning Room Foreman/woman - Textiles,20.0
/7256/ca,NOC 9217,"Supervisor, Spinning - Textile Processing",20.0
/7257/ca,NOC 9217,Dyeing Supervisor - Textiles,20.0
/7258/ca,NOC 9217,Knitting Supervisor,20.0
/7259/ca,NOC 9217,"Supervisor, Textile Processing",20.0
/7260/ca,NOC 9217,"Supervisor, Weaving",20.0
/7261/ca,NOC 9217,Spun Yarn Preparation Supervisor - Textile Processing,20.0
/7262/ca,NOC 9217,"Supervisor, Tufting - Textile Processing",20.0
/7263/ca,NOC 9217,Twisting Foreman/woman - Textiles,20.0
/7264/ca,NOC 9217,Weaving Room Supervisor - Textiles,20.0
/7265/ca,NOC 9217,Woven Fabric Inspection Foreman/woman - Textile Processing,20.0
/7266/ca,NOC 9217,"Foreman/woman, Weaving",20.0
/7267/ca,NOC 9217,Weaving Inspector Foreman/woman - Textile Processing,20.0
/7268/ca,NOC 9217,Wool Sorting And Grading Foreman/woman,20.0
/7269/ca,NOC 9217,Quilting Foreman/woman - Textile Processing,20.0
/7270/ca,NOC 9217,"Foreman/woman, Hosiery",20.0
/7271/ca,NOC 9217,Wool Sorter And Grader Foreman/woman - Textile Processing,20.0
/7272/ca,NOC 9217,Tufted-carpet Weaver Supervisor,20.0
/7273/ca,NOC 9217,Finishing Department Supervisor - Textile Processing,20.0
/7274/ca,NOC 9217,Dyehouse Foreman/woman - Textiles,20.0
/7275/ca,NOC 9217,Weave Room Supervisor - Textile Processing,20.0
/7276/ca,NOC 9217,"Foreman/woman, Weaving Room - Textile Processing",20.0
/7277/ca,NOC 9221,Area Co-ordinator - Motor Vehicle Manufacturing,27.3
/7278/ca,NOC 9221,Assembly Foreman/woman - Motor Vehicle Manufacturing,27.3
/7279/ca,NOC 9221,"Assembly Foreman, Automobiles",27.3
/7280/ca,NOC 9221,Assembly Co-ordinator - Motor Vehicle Manufacturing,27.3
/7281/ca,NOC 9221,"Foreman/woman, Motor Vehicle Manufacturing",27.3
/7282/ca,NOC 9221,"Foreman/woman, Paint Department - Motor Vehicle Manufacturing",27.3
/7283/ca,NOC 9221,"General Supervisor, Motor Vehicle Assembly",27.3
/7284/ca,NOC 9221,"Foreman/woman, Motor Vehicle Inspection And Testing - Motor Vehicle Manufacturing",27.3
/7285/ca,NOC 9221,"Foreman/woman, Production Line - Motor Vehicle Manufacturing",27.3
/7286/ca,NOC 9221,"Assembly Supervisor, Motor Vehicles",27.3
/7287/ca,NOC 9221,"Supervisor, Assembly - Motor Vehicle Manufacturing",27.3
/7288/ca,NOC 9221,Body Shop Supervisor - Motor Vehicle Manufacturing,27.3
/7289/ca,NOC 9221,Chassis Assembly Supervisor - Motor Vehicle Manufacturing,27.3
/7290/ca,NOC 9221,Engine Dress Supervisor - Motor Vehicle Manufacturing,27.3
/7291/ca,NOC 9221,Final-assembly Supervisor - Motor Vehicle Manufacturing,27.3
/7292/ca,NOC 9221,"Assembly Co-ordinator, Motor Vehicles",27.3
/7293/ca,NOC 9221,Paint Shop Supervisor - Motor Vehicle Manufacturing,27.3
/7294/ca,NOC 9221,"Supervisor, Trim And Hardware - Motor Vehicle Manufacturing",27.3
/7295/ca,NOC 9221,Motor Vehicle Assembly Zone Supervisor,27.3
/7296/ca,NOC 9221,"Zone Supervisor, Assembly - Motor Vehicle Manufacturing",27.3
/7297/ca,NOC 9221,Area Co-ordinator - Motor Vehicle Assembly,27.3
/7298/ca,NOC 9221,"Assembly Foreman/woman, Motor Vehicles",27.3
/7299/ca,NOC 9221,Foreman/woman - Motor Vehicle Manufacturing,27.3
/7300/ca,NOC 9221,"General Supervisor, Assembly - Motor Vehicle Manufacturing",27.3
/7301/ca,NOC 9224,Buffing And Lacquering Foreman/woman - Furniture And Fixtures Manufacturing,25.0
/7302/ca,NOC 9224,Decorating Foreman/woman - Furniture And Fixtures Manufacturing,25.0
/7303/ca,NOC 9224,Finishing Room Foreman/woman - Furniture And Fixtures Manufacturing,25.0
/7304/ca,NOC 9224,"Foreman/woman, Furniture Inspectors - Furniture And Fixtures Manufacturing",25.0
/7305/ca,NOC 9224,"Foreman/woman, Wood Machining Workers - Furniture And Fixtures Manufacturing",25.0
/7306/ca,NOC 9224,"Foreman/woman, Wood Sanders - Furniture And Fixtures Manufacturing",25.0
/7307/ca,NOC 9224,Cabinet Assembler And Wood Furniture Maker Foreman/woman,25.0
/7308/ca,NOC 9224,"Foreman/woman, Desk Assembly",25.0
/7309/ca,NOC 9224,"Foreman/woman, Veneering Shop - Furniture And Fixtures Manufacturing",25.0
/7310/ca,NOC 9224,"Foreman/woman, Furniture Assembly",25.0
/7311/ca,NOC 9224,"Foreman/woman, Furniture Finishers - Furniture And Fixtures Manufacturing",25.0
/7312/ca,NOC 9224,"Foreman/woman, Gluing - Furniture And Fixtures Manufacturing",25.0
/7313/ca,NOC 9224,"Foreman/woman, Wood-machining Quality-control Inspectors - Furniture And Fixtures Manufacturing",25.0
/7314/ca,NOC 9224,Laminating Foreman/woman,25.0
/7315/ca,NOC 9224,"Foreman/woman, Metal Furniture Assembly",25.0
/7316/ca,NOC 9224,Paint Department Foreman/woman - Furniture And Fixtures Manufacturing,25.0
/7317/ca,NOC 9224,"Foreman/woman, Wood Sawing (except Sawmill)",25.0
/7318/ca,NOC 9224,"Foreman/woman, Woodworking Machine Department",25.0
/7319/ca,NOC 9224,"Foreman/woman, Woodworking Machine Operators - Furniture And Fixtures Manufacturing",25.0
/7320/ca,NOC 9224,"Supervisor, Furniture And Fixture Manufacturing",25.0
/7321/ca,NOC 9224,"Supervisor, Furniture Finishers",25.0
/7322/ca,NOC 9224,"Supervisor, Woodworking Machine Operators",25.0
/7323/ca,NOC 9224,"Foreman/woman, Furniture Components Sanding Department",25.0
/7324/ca,NOC 9224,"Foreman/woman, Machining - Furniture And Fixtures Manufacturing",25.0
/7325/ca,NOC 9224,"Foreman/woman, Furniture Gluers - Furniture And Fixtures Manufacturing",25.0
/7326/ca,NOC 9224,"Foreman/woman, Furniture Finishing - Furniture And Fixtures Manufacturing",25.0
/7327/ca,NOC 9224,Chair Assembly Foreman/woman - Furniture And Fixtures Manufacturing,25.0
/7328/ca,NOC 9224,"Foreman/woman, Planers, Turners, Shapers And Related Wood-machining Workers - Furniture And Fixtures Manufacturing",25.0
/7329/ca,NOC 9224,"Foreman/woman, Veneering - Furniture And Fixtures Manufacturing",25.0
/7330/ca,NOC 9224,"Foreman/woman, Mattress Manufacturing",25.0
/7331/ca,NOC 9227,Baby Carriage Assembly Foreman/woman,24.0
/7332/ca,NOC 9227,"Foreman/woman, Bicycle Assembly",24.0
/7333/ca,NOC 9227,Brush Making Foreman/woman,24.0
/7334/ca,NOC 9227,Candle Making Foreman/woman,24.0
/7335/ca,NOC 9227,Clock And Watch Inspection Foreman/woman,24.0
/7336/ca,NOC 9227,Cooper Foreman/woman,24.0
/7337/ca,NOC 9227,Door And Sash Assembly Foreman/woman,24.0
/7338/ca,NOC 9227,Fibreglass Boat Assembly Foreman/woman,24.0
/7339/ca,NOC 9227,Firearms Assembly Foreman/woman,24.0
/7340/ca,NOC 9227,Lens Grinder And Polisher Foreman/woman,24.0
/7341/ca,NOC 9227,Bench Assemblers Foreman/woman - Wood Products Manufacturing,24.0
/7342/ca,NOC 9227,"Foreman/woman, Clock And Watch Assembly",24.0
/7343/ca,NOC 9227,Controlling And Recording Instruments Assembly Foreman/woman,24.0
/7344/ca,NOC 9227,Cutlery Manufacturing Foreman/woman,24.0
/7345/ca,NOC 9227,Jewellery And Silverware Manufacturing Worker Foreman/woman,24.0
/7346/ca,NOC 9227,"Foreman/woman, Jewellery Manufacturing",24.0
/7347/ca,NOC 9227,"Foreman/woman, Jewellery Repairing - Manufacturing",24.0
/7348/ca,NOC 9227,Lamp Shade Fabrication Foreman/woman,24.0
/7349/ca,NOC 9227,"Foreman/woman, Millwork Assemblers - Wood Manufacturing",24.0
/7350/ca,NOC 9227,"Foreman/woman, Millwork Assembly",24.0
/7351/ca,NOC 9227,"Foreman/woman, Mirror Silvering",24.0
/7352/ca,NOC 9227,Prefab House Assembly Foreman/woman,24.0
/7353/ca,NOC 9227,Musical Instrument Manufacturing Foreman/woman,24.0
/7354/ca,NOC 9227,"Foreman/woman, Optical Instrument Manufacturing",24.0
/7355/ca,NOC 9227,Photographic Equipment Assembly Foreman/woman,24.0
/7356/ca,NOC 9227,Prefab Housing Assembler Foreman/woman,24.0
/7357/ca,NOC 9227,Precision Instrument And Related Equipment Assembly Foreman/woman,24.0
/7358/ca,NOC 9227,Sash And Door Shop Foreman/woman,24.0
/7359/ca,NOC 9227,Scale Assembly Foreman/woman,24.0
/7360/ca,NOC 9227,Spikemaking Foreman/woman,24.0
/7361/ca,NOC 9227,Sporting Equipment Manufacturing Foreman/woman,24.0
/7362/ca,NOC 9227,Thermostat Assembly Foreman/woman,24.0
/7363/ca,NOC 9227,"Foreman/woman, Toy Assembly",24.0
/7364/ca,NOC 9227,"Foreman/woman, Wooden Truss Makers - Manufacturing",24.0
