noc,description,duties,titles,related_occupations
NOC 9227,"Supervisors in other products manufacturing and assembly supervise and co-ordinate the activities of workers who assemble, fabricate and inspect a variety of products not elsewhere classified, such as jewellery, clocks and watches, millwork, sporting goods, toys and other miscellaneous products. They are employed in a wide variety of manufacturing companies.","['Supervise, co-ordinate and schedule activities of workers who assemble, fabricate and inspect products, such as jewellery, clocks, watches, bicycles, millwork, sporting goods and toys', 'Establish methods to meet work schedules and co-ordinate work activities with other departments', 'Resolve work problems and recommend measures to improve productivity and product quality', 'Requisition materials and supplies', 'Train workers in job duties, safety procedures and company policies', 'Recommend personnel actions such as hirings and promotions', 'Prepare production and other reports', 'May set up machines and equipment.']","['foreman/woman, bicycle assembly', 'foreman/woman, clock and watch assembly', 'foreman/woman, jewellery manufacturing', 'millwork assembly foreman/woman', 'supervisor, millwork assembly', 'supervisor, silverware manufacturing', 'sports equipment assembly supervisor', 'supervisor, toy manufacturing', 'foreman/woman, millwork assembly']","['Supervisors, furniture and fixtures manufacturing', 'Other labourers in processing, manufacturing and utilities', 'Other products assemblers, finishers and inspectors']"
NOC 9235,"Pulping, papermaking and coating control operators operate and monitor multi-function process control machinery and equipment to control the processing of wood, scrap pulp, recyclable paper, cellulose materials, paper pulp and paperboard. They are employed by pulp and paper companies.","['Operate, co-ordinate and monitor pulping, papermaking and papercoating process equipment from central control room or machine consoles and control panels in equipment cabins to control process operations and machinery in the production of pulp and paper', 'Control the processing of wood, scrap pulp, recyclable paper, cellulose materials, pulp paper and paperboard and monitor the chemical and physical process operations using a distributed control system and process computers', 'Observe panel indicators, gauges, video monitors and other instruments to detect equipment malfunctions and ensure pulping, papermaking and coating processes are operating according to process specifications', 'Analyze instrument readings and production test samples and make adjustments or direct other pulp mill, papermaking and finishing machine operators to make adjustments to pulp production, papermaking and coating process and equipment as required', 'Complete and maintain production reports.']","['control operator, paper machine', 'panelboard operator - pulp and paper', 'bleach plant operator - pulp and paper', 'pulping control operator', 'pulping group operator - pulp and paper', 'pulping technician']","['Pulp mill machine operators', 'Supervisors, forest products processing', 'Papermaking and finishing machine operators']"
NOC 9411,"Machine operators in mineral and metal processing operate machinery to process mineral ore and metal. They are employed in mineral ore and metal processing plants such as copper, lead and zinc refineries, uranium processing plants, steel mills, aluminum plants, precious metal refineries and cement processing plants.","['Set up, prepare and adjust mineral ore, metal and cement processing machinery to carry out one step in the overall mineral ore or metal processing operation', 'Operate single-function machinery to grind, separate, filter, mix, treat, cast, roll, refine or otherwise process mineral ores', 'Observe gauges, meters, computer printouts, video monitors and products to ensure correct operation of machinery and verify processing conditions', 'Make adjustments to machinery as required', 'Record production information and complete reports', 'May assist with machinery maintenance or repair.']","['zinc cell operator', 'extrusion press operator', 'asbestos dryer', 'steel roller', 'uranium classifier operator', 'cement miller', 'lead refiner', 'mica sheet laminator', 'quenching car operator', 'scrap metal shredder', 'aluminum classifier', 'billet heater', 'brick and tile crusher operator', 'sintering machine operator', 'foil-winding machine operator', 'slurry equipment operator', 'ladle pourer', 'lime kiln operator', 'furnace charger - mineral and metal processing']","['Supervisors, mineral and metal processing', 'Foundry workers', 'Glass forming and finishing machine operators and glass cutters', 'Concrete, clay and stone forming operators', 'Inspectors and testers, mineral and metal processing', 'Labourers in mineral and metal processing', 'Central control and process operators, mineral and metal processing']"
NOC 7294,"Painters and decorators apply paint, wallpaper and other finishes to interior and exterior surfaces of buildings and other structures. They are employed by construction companies, painting contractors and building maintenance contractors, or they may be self-employed.","['Read specifications to determine quantities of materials required', 'Prepare and clean surfaces using methods such as scraping, sanding, sandblasting, hydro-blasting and steam-cleaning; remove old wallpaper and loose paint; repair cracks and holes in walls; and sandpaper and apply sealer', 'Mix and thin paint to obtain desired colour and texture', 'Apply paint or other materials, such as stains, lacquer, enamel, oil, varnish,  fibreglass, metal coating or fire retardant using brushes, rollers or spray equipment', 'Measure, cut and apply wallpaper or fabric to walls', 'Assemble and erect scaffolding and swing stages', 'May advise customer on selection of colour schemes and choice of wall coverings', 'May provide cost estimates to clients.']","['painter and decorator apprentice', 'paperhanger', 'maintenance painter', 'construction painter', 'painter and decorator', 'painter']","['Painters, sculptors and other visual artists', 'Interior designers and interior decorators', 'Contractors and supervisors, other construction trades, installers, repairers and servicers', 'Motor vehicle body repairers', 'Industrial painters, coaters and metal finishing process operators']"
NOC 7312,"Heavy-duty equipment mechanics repair, troubleshoot, adjust, overhaul and maintain mobile heavy-duty equipment used in construction, transportation, forestry, mining, oil and gas, material handling, landscaping, land clearing, farming and similar activities. They are employed by companies which own and operate heavy equipment, and by heavy equipment dealers, rental and service establishments, railway transport companies and urban transit systems.","['Check bulldozers, cranes, graders and other heavy construction, agricultural, logging and mining equipment for proper performance and inspect equipment to detect faults and malfunctions', 'Diagnose faults or malfunctions using computerized and other testing equipment to determine extent of repair required', 'Adjust equipment and repair or replace defective parts, components or systems, using hand and power tools', ""Test repaired equipment for proper performance and to ensure that work meets manufacturers' specifications"", 'Clean, lubricate and perform other routine maintenance work on equipment', 'Service attachments and working tools such as harvesting and tillage equipment, blades, ploughs, winches and side booms', 'May perform repair work on heavy trucks', 'May attach components and adjust new farm equipment.', 'Heavy-duty mechanics may specialize in specific types of machinery such as combines or tracked vehicles, or in engine overhaul, power shift transmissions, fuel injection, hydraulics or electronics.']","['agricultural equipment technician', 'heavy-duty equipment mechanic apprentice', 'construction equipment mechanic', 'diesel mechanic - heavy equipment', 'farm equipment mechanic', 'heavy mobile logging equipment mechanic', 'heavy mobile mining equipment mechanic', 'heavy equipment mechanic', 'locomotive mechanic', 'tractor mechanic', 'heavy-duty equipment technician']","['Contractors and supervisors, mechanic trades', 'Construction millwrights and industrial mechanics', 'Automotive service technicians, truck and bus mechanics and mechanical repairers']"
NOC 7313,"Heating, refrigeration and air conditioning mechanics install, maintain, repair and overhaul residential central air conditioning systems, commercial and industrial refrigeration and air conditioning systems and combined heating, ventilation and cooling systems. They are employed by heating, refrigeration and air conditioning installation contractors, various industrial settings, food wholesalers, engineering firms and retail and servicing establishments. Transport refrigeration mechanics are included in this unit group.","['Read and interpret blueprints, drawings or other specifications', 'Measure and lay out reference points for installation', 'Assemble and install refrigeration or air conditioning components such as motors, controls, gauges, valves, circulating pumps, condensers, humidifiers, evaporators and compressors using hand and power tools', 'Measure and cut piping, and connect piping using welding and brazing equipment', 'Install, troubleshoot and overhaul entire heating, ventilation, air handling, refrigeration and air conditioning systems', 'Start up system and test for leaks using testing devices', 'Recharge system with refrigerant, check and test regulators, calibrate system and perform routine maintenance or servicing', 'Repair and replace parts and components for entire refrigeration, air conditioning, ventilation or heat pump systems', 'May install, maintain and repair equipment in refrigerated trucks used to transport food or medical supplies', 'May prepare work estimates for clients.']","['heating and cooling mechanic', 'heating, ventilation and air conditioning (HVAC) mechanic', 'transport refrigeration mechanic', 'commercial air conditioning mechanic', 'refrigeration and air conditioning mechanic apprentice', 'central air conditioning mechanic', 'refrigeration mechanic']","['Contractors and supervisors, mechanic trades', 'Appliance servicers and repairers']"
NOC 7314,"Railway carmen/women inspect, troubleshoot, maintain and repair structural and mechanical components of railway freight, passenger and urban transit rail cars. They are employed by railway transport companies and urban transit systems.","['Inspect interior and exterior components of freight, passenger and urban transit rail cars to determine defects and extent of wear and damage', 'Repair and install railway car parts such as compressors, air valves, bearings, couplings, air cylinders and piping', 'Repair and maintain electrical and electronic controls for propulsion and braking systems', 'Repair defective or damaged metal and wood components, using hand and power tools', 'Repair and repaint wooden fixtures', 'Replace damaged windows and repair upholstery', 'Test and adjust parts using testing gauges and other test equipment', 'Perform and document routine maintenance.']","['railway carman/woman apprentice', 'railway car inspector', 'railway carman/woman', 'streetcar and subway car mechanic', 'rail vehicle mechanic']","['Contractors and supervisors, mechanic trades', 'Heavy-duty equipment mechanics']"
NOC 7315,"Aircraft mechanics maintain, repair, overhaul, modify and test aircraft structural, mechanical and hydraulic systems. Aircraft inspectors inspect aircraft and aircraft systems following manufacture, modification, maintenance, repair or overhaul. Aircraft mechanics and aircraft inspectors are employed by aircraft manufacturing, maintenance, repair and overhaul establishments, and by airlines and other aircraft operators.","['Aircraft mechanics', 'Troubleshoot aircraft structural, mechanical or hydraulic systems to identify problems and adjust and repair systems according to specifications, technical drawings, manuals and established procedures', 'Repair and overhaul aircraft structural, mechanical or hydraulic systems', 'Install or modify aircraft engines and mechanical, hydraulic, flight control, fuel and pneumatic systems', 'Dismantle airframes, aircraft engines or other aircraft systems for repair, overhaul and cleaning, and reassemble', 'Perform and document routine maintenance', 'Order and maintain inventory of parts and supplies.', 'Aircraft mechanics usually specialize in working on specific aircraft systems such as engines, engine accessories, airframes, propellers, mechanical components or hydraulic systems and specific kinds of aircraft, such as light aircraft, jet transports and helicopters.', 'Aircraft inspectors', 'Inspect structural and mechanical systems of aircraft and ensure that these systems meet Transport Canada and company standards of performance and safety', 'Inspect work of aircraft mechanics performing maintenance, repair and overhaul, or modification of aircraft and aircraft mechanical systems to ensure adherence to standards and procedures', 'Maintain detailed repair, inspection and certification records of aircrafts.']","['shop inspector, aircraft repair', 'aircraft mechanic', 'aircraft maintenance engineer (AME) (except avionics)', 'aircraft gas turbine engine technician', 'aircraft structural repair technician', 'aviation mechanical component shop technician', 'hydraulic mechanic, aircraft', 'inspector, flight test', 'inspector, repair and overhaul', 'aircraft inspector', 'aircraft systems inspector', 'certified aircraft technician']","['Aircraft instrument, electrical and avionics mechanics, technicians and inspectors', 'Contractors and supervisors, mechanic trades', 'Non-destructive testers and inspection technicians', 'Aircraft assemblers and aircraft assembly inspectors', 'Machine fitters', 'Engineering inspectors and regulatory officers']"
NOC 7316,"Machine fitters fit, assemble and otherwise build heavy industrial machinery and transportation equipment, including aircraft engines. They are employed in industrial machinery and transportation equipment manufacturing industries.","['Read and interpret blueprints, sketches and diagrams to determine assembly operations', 'Fit and assemble prefabricated metal parts to build heavy industrial machinery and equipment such as construction, farming, and processing machinery, railway vehicles and aircraft engines', 'Move and align subassemblies and components using lifting and transporting devices such as overhead cranes', 'Install major components such as gears, pumps, motors or hydraulic assemblies', 'Inspect parts, subassemblies and finished products to ensure quality.']","['heavy equipment fitter', 'machine fitter', 'machine builder', 'aircraft engine fitter', 'assembly fitter', 'mechanical fitter', 'machine tool builder']","['Contractors and supervisors, mechanic trades', 'Aircraft assemblers and aircraft assembly inspectors', 'Assemblers, fabricators and inspectors, industrial electrical motors and transformers', 'Mechanical assemblers and inspectors', 'Construction millwrights and industrial mechanics', 'Welders and related machine operators']"
NOC 7322,"Motor vehicle body repairers repair and restore damaged motor vehicle body parts and interior finishing; repaint body surfaces; and repair and/or replace automotive glass. They are employed by automobile dealerships, automobile body repair shops and automobile appraisal centres. This unit group also includes metal repairers who repair defective automobile body parts and damage to the bodies of newly assembled cars. They are employed by motor vehicle manufacturers.","['Review damage report and estimates of repair cost and plan work to be performed', 'Repair and replace front end components, body components, doors and frame and underbody components', 'Hammer out dents, buckles and other defects using blocks and hammers', 'Operate soldering equipment or use plastic filler to fill holes, dents and seams', 'Remove damaged fenders, panels and grills using wrenches and cutting torch and bolt or weld replacement parts into place', 'Straighten bent frames using frame and underbody pulling and anchoring equipment', 'File, grind and sand repaired body surfaces using hand and power tools', 'Mask and tape auto body surfaces in preparation for painting', 'Mix paint, blend and match colours', 'Apply primers and repaint surfaces using brush or spray guns', 'Repair and replace glass components such as windshields, windows and sunroofs', 'Repair or replace interior components, such as seat frame assembly, carpets and floorboard insulation', 'Inspect repaired vehicles and test drive vehicles for proper handling.']","['automotive body mechanic', 'autobody repairer', 'motor vehicle body repairer apprentice', 'metal finisher - motor vehicle manufacturing', 'automotive painter - motor vehicle repair', 'metal repairer - motor vehicle manufacturing', 'automotive painter apprentice', 'motor vehicle body technician - truck', 'painter - motor vehicle repair', 'automotive glass technician']","['Contractors and supervisors, mechanic trades', 'Supervisors, motor vehicle assembling', 'Automotive service technicians, truck and bus mechanics and mechanical repairers', 'Industrial painters, coaters and metal finishing process operators']"
NOC 7331,"Oil and solid fuel heating mechanics install and maintain oil, coal and wood heating systems in residential and commercial buildings. They are employed by heating systems installation and service companies.","['Read and interpret drawings or specifications to determine work to be performed', 'Lay out oil burner heating system components and assemble components using hand and power tools', 'Install oil burner components such as thermostats, motors, piping and safety devices, and connect to fuel supply, ventilation and electrical system', 'Test installed unit and adjust controls for proper functioning', 'Troubleshoot and repair malfunctioning oil burners, and their components and controls', 'Install, maintain and repair coal and wood heating systems', 'Perform scheduled maintenance service on oil and solid fuel heating systems.']","['heating systems technician', 'heating service mechanic', 'furnace installer and repairer (except gas)', 'wood burner installer', 'oil burner installer', 'oil burner mechanic', 'oil burner mechanic apprentice']","['Contractors and supervisors, mechanic trades', 'Heating, refrigeration and air conditioning mechanics', 'Gas fitters']"
NOC 7332,"Appliance servicers and repairers service and repair domestic and commercial appliances. They are employed by repair shops, appliance service companies and repair departments of retail and wholesale establishments, or they may be self-employed.","['Small electrical appliance servicers and repairers', 'Repair small electrical appliances, such as lawn and garden equipment and power tools', 'Consult customer or refer to work order to establish nature of the appliance malfunction', 'Observe operation of appliance and conduct voltage, resistance and other tests using electrical test equipment', 'Refer to schematic drawings or product manuals and replace or repair parts or components using hand tools and soldering equipment', 'Prepare estimates and written accounts of work performed.', 'Major appliance repairers/technicians', ""Repair major electrical or gas appliances, such as domestic and commercial dishwashing equipment, stoves, laundry equipment and refrigerators in customer's home, in customer's place of business or in repair shop"", 'Consult customer or refer to work order to establish nature of the appliance malfunction', 'Diagnose faults by checking controls, condensers, timer sequences, fans and other components using test equipment such as meters and gauges to measure resistance, current, voltage, pressure, temperature, flue gases and flow rates', 'Refer to schematic diagrams or product manuals and disassemble appliance using hand tools', 'Use shop equipment and specialized diagnostic and programming apparatus to repair, adjust and reprogram appliances', 'Replace components and subcomponents and reassemble appliance using hand tools and soldering and brazing equipment', 'Prepare estimates and written accounts of work performed', 'May plan service routes.']","['appliance service technician apprentice', 'dishwasher repairer', 'refrigerator repairer', 'service technician - electrical appliances', 'vacuum cleaner repairer', 'stove repairer', 'washing machine servicer', 'appliance service technician', 'appliance servicer', 'window air conditioner repairer', 'service technician - gas appliances', 'commercial foodservice appliance technician', 'commercial laundry appliance technician']","['Electronic service technicians (household and business equipment)', 'Contractors and supervisors, mechanic trades', 'Residential and commercial installers and servicers', 'Heating, refrigeration and air conditioning mechanics', 'Gas fitters', 'Other small engine and small equipment repairers']"
NOC 7333,"Electrical mechanics maintain, test, rebuild and repair electric motors, transformers, switchgear and other electrical apparatus. They are employed by independent electrical repair shops, service shops of electrical equipment manufacturers and maintenance departments of manufacturing companies.","['Test and observe electrical, electronic and mechanical components and systems using testing and measuring instruments', 'Troubleshoot and repair electric motors, transformers, switchgear, generators and other electro-mechanical equipment', 'Replace or recondition shafts, bearings, commutators and other components', 'Wind, assemble and install various types of coils for electric motors or transformers', 'Perform static or dynamic balancing of armatures or rotors by welding, brazing or soldering electrical connections and by aligning and adjusting parts', 'Test and repair or replace faulty wiring or components in electrical switchgear', 'Test repaired motors, transformers, switchgear or other electrical apparatus to ensure proper performance', 'Perform some machining to recondition or modify shafts, commutators or other parts', 'Perform on-site servicing and repair.', 'Electrical mechanics may specialize in working with certain types of apparatus, such as electric motors or transformers, or in performing certain functions, such as winding coils.']","['armature winder repairer', 'coil winder and repairer', 'electrical mechanic', 'electrical transformer repairer', 'industrial motor winder-repairer', 'power transformer repairer', 'transformer repairer', 'electrical mechanic apprentice', 'electrical rewind mechanic', 'electric motor systems technician']","['Aircraft instrument, electrical and avionics mechanics, technicians and inspectors', 'Contractors and supervisors, mechanic trades', 'Assemblers, fabricators and inspectors, industrial electrical motors and transformers', 'Industrial electricians']"
NOC 6343,"Shoe repairers repair footwear and shoemakers make specialized and custom shoes and boots. They are employed in shoe repair shops or custom shoemaking establishments, or they may be self-employed.","['Shoemakers', 'Discuss type of footwear to be made and obtain measurements from customer', 'Select patterns and leather or other material and outline and cut patterns', 'Select or assemble lasts, fasten insoles to lasts and sew or glue other parts into place', 'Trim, dress and otherwise finish boots or shoes', 'Estimate custom footwear costs and receive payment from customers', 'May supervise other shoemakers and shoe repairers.', 'Shoe repairers', 'Repair soles, heels and other parts of footwear using sewing, buffing and other shoe repair machines, materials and equipment', 'Repair belts, luggage, purses and similar products', 'Estimate footwear repair costs and take payment.']","['bootmaker', 'shoe repairer', 'custom shoemaker', 'orthopedic shoemaker', 'shoemaker']","['Fabric, fur and leather cutters', 'Other labourers in processing, manufacturing and utilities', 'Industrial sewing machine operators']"
