link,description,duties,titles,related_occupations
/18010/ca,"Electrical and electronics engineering technologists and technicians may work independently or provide technical support and services in the design, development, testing, production and operation of electrical and electronic equipment and systems. They are employed by electrical utilities, communications companies, manufacturers of electrical and electronic equipment, consulting firms, and in governments and a wide range of manufacturing, processing and transportation industries.","['Electrical and electronics engineering technologists', 'Design, develop and test power equipment and systems, industrial process control systems, telecommunication, broadcast, recording and audiovisual systems, microelectronic systems and circuits, computers, computer systems and networks, and computer software', 'Supervise the building and testing of prototypes according to general instructions and established standards', 'Conduct or supervise the installation, commissioning, and operation of electrical and electronic equipment and systems other than aircraft electronics or instruments', 'Carry out applied research in fields of electrical and electronic engineering and physics under the direction of scientists or engineers', 'Set up and operate specialized and standard test equipment to diagnose, test and analyze the performance of electrical and electronic components, assemblies and systems', 'Write specifications, schedules and technical reports and control schedules and budgets.', 'Electrical and electronics engineering technicians', 'Assist in the design, development and testing of electrical and electronic components, equipment, and systems', 'Assist in inspection, testing, adjusting and evaluation of incoming electrical, electro-mechanical and electronic components and assemblies to ensure conformance with product specifications and tolerances', 'Conduct life tests (burn-ins) on assemblies and record and analyze results', 'Assist in building and testing prototypes to specifications', 'Carry out a limited range of technical functions in support of research in electrical and electronic engineering and physics', 'Install, operate and maintain electrical and electronic equipment and systems', 'Calibrate electrical or electronic equipment and instruments according to technical manuals and written instructions', 'Collect and compile operational or experimental data and assist in the preparation of estimates, schedules, budgets, specifications and reports.']","['communications technologist', 'electrical engineering technician', 'electrical engineering technologist', 'electronics design technologist', 'electronics engineering technician', 'electronics engineering technologist', 'electronics manufacturing technician', 'electronics manufacturing technologist', 'lighting technologist', 'metering technologist', 'microwave maintenance technician', 'production support technician - electronics manufacturing', 'electricity distribution network technologist']","['Engineering managers', 'Manufacturing managers', 'Electronic service technicians (household and business equipment)', 'Aircraft instrument, electrical and avionics mechanics, technicians and inspectors', 'Technical sales specialists - wholesale trade', 'Industrial instrument technicians and mechanics']"
/10477/ca,"Printing press operators set up and operate sheet and web-fed presses to print text, illustrations and designs on a wide variety of materials such as paper, plastic, glass, leather and metal. They are employed by commercial printing companies; newspapers, magazines, and other publishing companies; and establishments in the public and private sectors that have in-house printing departments.","['Review job orders to determine job specifications such as production time, colour sequence and quantities required, and advise press crew of these specifications', 'Mount plates or cylinders and make necessary adjustments', 'Fill ink fountains and take measurements, make adjustments and determine settings to control colour and viscosity', 'Set up press and check samples for ink coverage, alignment and registration', 'Monitor regular press runs for quality and consistency using computer control console and make adjustments as required', 'Remove and clean plates and cylinders at end of press run', 'Direct activities of press crew and ensure that safety procedures are adhered to.']","['assistant pressman/woman', 'first pressman/woman', 'apprentice pressman/woman', 'flexographic press operator', 'offset press operator', 'printing press operator', 'rotogravure pressman/woman - printing']","['Artisans and craftspersons', 'Supervisors, printing and related occupations', 'Plateless printing equipment operators', 'Textile fibre and yarn, hide and pelt processing machine operators and workers']"
/6181/ca,"Real estate agents and salespersons act as agents for the sale or purchase of houses, apartments, commercial buildings, land and other real estate. They are employed in the real estate industry.","['Solicit property sales listings from prospective vendors', 'Assist vendors in selling property by establishing asking price, advertising the property, listing the property with listing services and conducting open houses for prospective buyers', 'Assist prospective buyers in selecting, visiting, inspecting and making offers of purchase on real estate properties', 'Advise clients on market conditions, prices, mortgages, legal requirements and related matters', 'Draw up sales agreements for approval of purchaser and seller', 'May rent or lease properties on behalf of clients.', 'Real estate agents and salespersons may specialize in residential, commercial, industrial/institutional or rural real estate sales.']","['real estate agent', 'real estate sales representative', 'commercial real estate agent', 'real estate broker', 'residential real estate agent', 'real estate agent supervisor']","['Other financial officers', 'Purchasing agents and officers', 'Assessors, valuators and appraisers', 'Insurance, real estate and financial brokerage managers', 'Property administrators']"
/68/ca,"Manufacturing managers plan, organize, direct, control and evaluate the operations of a manufacturing establishment or of a production department within a manufacturing establishment, under the direction of a general manager or other senior manager. They are employed by manufacturing companies.","['Plan, organize, direct, control and evaluate the operations of a manufacturing establishment or the operations or production department of a manufacturing establishment', 'Develop and implement plans to efficiently use materials, labour and equipment to meet production targets', 'Plan and manage the establishment of departmental budget', 'Develop production schedules and maintain an inventory of raw materials and finished products', 'Plan and implement changes to machinery and equipment, production systems and methods of work', 'Direct quality control inspection system and develop production reporting procedures', 'Develop equipment maintenance schedules and recommend the replacement of machines', 'Hire, supervise and train or oversee training of employees in the use of new equipment or production techniques.']","['printing plant manager', 'plant manager, manufacturing', 'production manager - manufacturing', 'textile mill manager', 'tire plant manager', 'automobile production manager', 'clothing factory manager', 'dairy plant manager', 'operations manager, manufacturing', 'distillery manager', 'factory superintendent', 'foundry manager', 'manufacturing manager']","['Managers in transportation', 'Utilities managers', 'Senior managers - construction, transportation, production and utilities', 'Facility operation and maintenance managers']"
/2757/ca,"Mechanical engineers research, design and develop machinery and systems for heating, ventilating and air conditioning, power generation, transportation, processing and manufacturing. They also perform duties related to the evaluation, installation, operation and maintenance of mechanical systems. They are employed by consulting firms, by power-generating utilities and in a wide range of manufacturing, processing and transportation industries, or they may be self-employed.","['Conduct research into the feasibility, design, operation and performance of mechanisms, components and systems', 'Plan and manage projects, and prepare material, cost and timing estimates, reports and design specifications for machinery and systems', 'Design power plants, machines, components, tools, fixtures and equipment', 'Analyze dynamics and vibrations of mechanical systems and structures', 'Supervise and inspect the installation, modification and commissioning of mechanical systems at construction sites or in industrial facilities', 'Develop maintenance standards, schedules and programs and provide guidance to industrial maintenance crews', 'Investigate mechanical failures or unexpected maintenance problems', 'Prepare contract documents and evaluate tenders for industrial construction or maintenance', 'Supervise technicians, technologists and other engineers and review and approve designs, calculations and cost estimates.']","['acoustics engineer', 'automotive engineer', 'design engineer - mechanical', 'energy conservation engineer', 'mechanical engineer', 'nuclear engineer', 'engineer, power generation', 'fluid mechanics engineer', 'heating, ventilation and air conditioning (HVAC) engineer', 'mechanical maintenance engineer', 'refrigeration engineer', 'tool engineer', 'thermal design engineer', 'robotics engineer', 'piping engineer']","['Engineering managers', 'Power engineers and power systems operators', 'Metallurgical and materials engineers', 'Industrial and manufacturing engineers']"
/22631/ca,"Industrial instrument technicians and mechanics repair, maintain, calibrate, adjust, and install industrial measuring and controlling instrumentation. They are employed by pulp and paper processing companies, nuclear and hydro power generating companies, mining, petrochemical and natural gas companies, industrial instrument and other manufacturing companies, and by industrial instrument servicing establishments.","[""Consult manufacturer's manuals, circuit diagrams and blueprints to determine tests and maintenance procedures for instruments used for measuring and controlling flow, level, pressure, temperature, chemical composition and other variables in manufacturing and processing"", 'Inspect and test operation of instruments and systems to diagnose faults using pneumatic, electrical and electronic testing devices and precision measuring instruments', 'Repair and adjust system components, such as sensors, transmitters and programmable logic controllers, or remove and replace defective parts', ""Calibrate components and instruments according to manufacturers' specifications"", 'Perform scheduled preventive maintenance work and complete test and maintenance reports', 'Install control and measurement instruments on existing and new plant equipment and processes', 'Consult with and advise process operators.']","['apprentice industrial instrument mechanic', 'industrial instrument mechanic', 'process control equipment mechanic', 'instrument technician, industrial', 'industrial instrumentation technician']","['Aircraft instrument, electrical and avionics mechanics, technicians and inspectors', 'Electrical and electronics engineering technologists and technicians', 'Engineering inspectors and regulatory officers', 'Construction millwrights and industrial mechanics']"
/16551/ca,"Elementary and secondary school teacher assistants support students, and assist teachers and counsellors with teaching and non-instructional tasks. They assist in areas of personal care, teaching and behaviour management under the supervision of teachers or other child care professionals. They are employed in public and private elementary, secondary and special needs schools and treatment centres.","['Assist students with integration into the classroom and school setting', 'Help students individually or in small groups with assignments and reinforce learning and retention concepts under the supervision of classroom teacher', 'Assist students with special needs using techniques such as sign language, braille and remedial programs', 'Monitor and report student progress to classroom teacher', 'Accompany and supervise students during activities in school gymnasiums, laboratories, libraries, resource centres and on field trips', 'May assist teacher in the operation of projectors, tape recorders and other audio-visual or electronic equipment', 'May assist in school library or office and perform other duties assigned by school principal', 'May monitor students during recess, at noon hour or during the day.']","[""secondary school teacher's assistant"", 'special education assistant', 'educational assistant', ""elementary school teacher's aide"", 'remedial education aide', 'educational resources assistant', 'school lunchroom supervisor', 'homework assistant']","['Elementary school and kindergarten teachers', 'Early childhood educators and assistants', 'Instructors of persons with disabilities', 'Post-secondary teaching and research assistants']"
/20827/ca,"Water treatment plant operators monitor and operate computerized control systems and related equipment in water filtration and treatment plants to regulate the treatment and distribution of water. Liquid waste plant operators monitor and operate computerized control systems and related equipment in wastewater, sewage treatment and liquid waste plants to regulate the treatment and disposal of sewage and wastes. They are employed by municipal governments and industrial facilities. This unit group also includes waste treatment plant operators in composting plants and other waste management facilities.","['Water treatment plant operators', 'Operate and monitor computerized control systems and related equipment in water filtration and treatment plants to regulate the treatment and distribution of water', 'Monitor and inspect plant equipment and systems to detect equipment malfunctions and to ensure plant systems are operating normally', 'Read flow meters, gauges and other recording instruments to measure water output and consumption levels, bacterial content, chlorine and fluoride levels', 'Collect and test water samples for chemical and bacterial content, analyze test results and instrument readings and make adjustments to plant equipment and systems to ensure quality control', 'Provide verbal or written instructions for process control changes to waterworks system to ensure water produced meets standardized quality requirements', 'Perform security checks in plant and on grounds', 'Respond to public enquiries regarding water quality issues and emergencies', 'Complete and maintain plant logs, reports and statistics', 'May perform minor maintenance or assist skilled tradespersons with installation and repair of plant machinery', 'May measure, mix and transport chemicals to maintain feed stocks.', 'Liquid waste plant operators', 'Operate and monitor computerized control systems and related equipment in wastewater treatment, sewage treatment and liquid waste plants to regulate the flow of sewage through settling, aeration and digestion tanks, and to treat and dispose of sewage and wastes', 'Patrol plant to check pumps, motors, filters, chlorinators and other plant equipment; monitor and read gauges, meters and other recording instruments to detect equipment malfunctions and ensure plant systems and equipment are operating within prescribed limits', 'Test and adjust chemical feed rates to ensure that disinfection processes meet quality standards', 'Collect waste and sewage samples, test and analyze results and make adjustments to plant equipment and systems as required', 'Perform security checks in plant and on grounds', 'Complete and maintain plant logs and reports', 'Perform preventive maintenance on plant equipment to ensure that the facility operates in accordance with required standards', 'May assist skilled tradespersons with installation and repair of plant machinery.']","['sewage plant operator', 'wastewater treatment plant operator', 'water treatment plant operator', 'process operator, liquid waste', 'water filtration plant operator', 'environmental systems operator - water treatment', 'water purification plant operator', 'waste treatment plant operator']","['Chemical technologists and technicians', 'Chemical engineers', 'Waterworks and gas maintenance workers', 'Supervisors, petroleum, gas and chemical processing and utilities', 'Labourers in chemical products processing and utilities']"
/16030/ca,"Education policy researchers, consultants and program officers conduct research, produce reports and administer elementary, secondary and post-secondary education policies and programs. They are employed by government departments, school boards, research institutes, professional associations and educational and other organizations throughout the public and private sectors, or they may be self-employed.","['Conduct research, produce reports and administer education policies and programs', 'Evaluate curriculum programs and recommend improvements', 'Develop the structure, content and objectives of new programs', 'Conduct statistical analyses to determine cost and effectiveness of education policies and programs', 'Provide ongoing professional development, training and consultative services to teachers and other professionals throughout the public and private sector', 'Develop teaching materials and other resources for program delivery', 'Deliver presentations at conferences, workshops and symposia', 'May supervise the work of other education policy researchers, consultants or program officers', 'May administer specialized testing and assessment programs.']","['special education co-ordinator', 'education consultant', 'curriculum developer', 'education policy officer', 'education program co-ordinator', 'education program officer', 'supervisor, education policy', 'education researcher', 'education outreach program co-ordinator', 'curriculum planner']","['Government managers - education policy development and program administration', 'Elementary school and kindergarten teachers', 'Social policy researchers, consultants and program officers', 'Secondary school teachers', 'College and other vocational instructors', 'Educational counsellors']"
/21691/ca,"Delivery and courier service drivers drive automobiles, vans and light trucks to pick up and deliver various products. They are employed by dairies, drug stores, newspaper distributors, take-out food establishments, dry cleaners, mobile caterers, courier and messenger service companies and many other establishments, or they may be self-employed.","['Operate and drive automobiles, vans and light trucks to pick up and deliver various products, such as fast food, newspapers, magazines, bakery and dairy products, and items such as dry cleaning, envelopes, packages and parcels', 'Perform pre-trip and post-trip inspection of vehicle', 'Plan delivery travel schedules and service routes', 'Load and unload cargo, goods or merchandise', 'Provide customer service by selling products, delivering over established routes and accepting or making payments for goods', 'Record information on pick-ups and deliveries, vehicle mileage and fuel costs and report any incidents or problems encountered', 'May scan and sort freight or cargo for delivery', 'May assemble, install or set-up delivered goods or merchandise', 'May communicate with central dispatch using mobile communications equipment.']","['driver salesperson', 'canteen driver', 'delivery driver', 'bread deliverer', 'pizza delivery driver', 'newspaper delivery driver', 'dry cleaning driver', 'vending machine driver-supplier', 'mail service courier', 'courier service driver']","['Couriers, messengers and door-to-door distributors', 'Supervisors, motor transport and other ground transit operators', 'Transport truck drivers', 'Public works maintenance equipment operators and related workers', 'Railway and motor transport labourers', 'Dispatchers']"
/1801/ca,"Managers in social, community and correctional services plan, organize, direct, control and evaluate the programs and activities of social service and community agencies, correctional institutions, counselling departments, labour organizations, professional associations, political parties and non-governmental organizations.","[""Plan, organize, direct, control and evaluate the delivery of social and community service programs such as income maintenance, children's aid and emergency housing services"", 'Manage the operations and activities of social and community centres, correctional facilities and detention centres', 'Administer the programs of non-governmental organizations involved with social issues such as health care, human rights, consumer protection, international development and environmental protection', 'Administer programs of membership organizations such as political parties, labour organizations, business and professional associations', 'Establish administrative procedures to meet objectives set by board of directors or senior management', 'Direct and advise professional and non-professional staff delivering services and programs to the general public and to the organization or association membership', 'Plan, administer and control budgets for programs, equipment and support services', 'Represent their respective organizations for the purpose of government liaison and media relations', 'Participate in policy development by preparing reports and briefs for management committees and working groups', 'Hire and provide training for professional and non-professional staff.']","['administrator, child welfare services', 'area manager, family services', 'association director', ""children's aid society director"", 'correctional institution director', 'detention centre director', 'director, correctional treatment and training', 'director, community centre', 'social work director', 'volunteer services director', 'environmental group director', 'income maintenance director', 'labour organization manager', 'membership services manager', 'political organization manager', 'prison warden', 'regional administrator, social services', 'social assistance director', 'trade association manager']","['Senior managers - health, education, social and community services and membership organizations', 'Government managers - health and social policy development and program administration']"
/14237/ca,"Animal care workers feed, handle, train and groom animals and assist veterinarians, animal health technologists and technicians and animal breeders. Pet groomers clip coats, bathe and otherwise groom pets. Workers in this group are employed by animal hospitals and clinics, animal shelters, breeding and boarding kennels, zoos, laboratories, retail pet shops, dog training schools, pet grooming establishments, or may be self-employed.","['Prepare food and feed animals, fish or birds at scheduled intervals', 'Clean and disinfect cages, pens and surrounding areas', 'Shampoo, clip and groom animals', 'Assist veterinarians and animal health technologists and technicians to inoculate and treat animals', 'Assist animal breeders to handle and nurture animals', 'Assist scientists and researchers in conducting laboratory tests with animals', 'Monitor and document animal behaviour', 'Train dogs to obey commands and perform specific duties in response to signals.']","['animal care worker (except farm)', 'laboratory animal attendant', 'zoo attendant', 'veterinary attendant', 'dog groomer', 'dog trainer', 'pet groomer', 'kennel attendant', 'pound attendant']","['Biologists and related scientists', 'Animal health technologists and veterinary technicians', 'Other trades and related occupations, n.e.c.', 'General farm workers']"
