degree,education_groups,top_jobs,job_percent,top_job_links,link
College/CEGEP,Other computer and information sciences and support services,Computer programmers and interactive media developers,13.32,/marketreport/summary-occupation/22534/ca,/22534/ca
College/CEGEP,Other computer and information sciences and support services,Computer network technicians,12.54,/marketreport/summary-occupation/24514/ca,/24514/ca
College/CEGEP,Other computer and information sciences and support services,Information systems analysts and consultants,11.71,/marketreport/summary-occupation/22510/ca,/22510/ca
College/CEGEP,Other computer and information sciences and support services,Web designers and developers,7.36,/marketreport/summary-occupation/24513/ca,/24513/ca
College/CEGEP,Other computer and information sciences and support services,User support technicians,6.74,/marketreport/summary-occupation/3772/ca,/3772/ca
College/CEGEP,Other computer and information sciences and support services,Retail salespersons,3.01,/marketreport/summary-occupation/20599/ca,/20599/ca
College/CEGEP,Other computer and information sciences and support services,Electronic service technicians (household and business equipment),2.9,/marketreport/summary-occupation/3296/ca,/3296/ca
College/CEGEP,Other computer and information sciences and support services,Computer and information systems managers,2.75,/marketreport/summary-occupation/1433/ca,/1433/ca
College/CEGEP,Other computer and information sciences and support services,Other customer and information services representatives,2.69,/marketreport/summary-occupation/15205/ca,/15205/ca
College/CEGEP,Other computer and information sciences and support services,Graphic designers and illustrators,2.02,/marketreport/summary-occupation/5747/ca,/5747/ca
Bachelor's degree,Other computer and information sciences and support,Information systems analysts and consultants,19.56,/marketreport/summary-occupation/22510/ca,/22510/ca
Bachelor's degree,Other computer and information sciences and support,Computer programmers and interactive media developers,15.01,/marketreport/summary-occupation/22534/ca,/22534/ca
Bachelor's degree,Other computer and information sciences and support,Computer network technicians,7.93,/marketreport/summary-occupation/24514/ca,/24514/ca
Bachelor's degree,Other computer and information sciences and support,Web designers and developers,5.23,/marketreport/summary-occupation/24513/ca,/24513/ca
Bachelor's degree,Other computer and information sciences and support,User support technicians,4.38,/marketreport/summary-occupation/3772/ca,/3772/ca
Bachelor's degree,Other computer and information sciences and support,Computer and information systems managers,3.71,/marketreport/summary-occupation/1433/ca,/1433/ca
Bachelor's degree,Other computer and information sciences and support,Software engineers and designers,3.54,/marketreport/summary-occupation/5482/ca,/5482/ca
Bachelor's degree,Other computer and information sciences and support,Graphic designers and illustrators,3.37,/marketreport/summary-occupation/5747/ca,/5747/ca
Bachelor's degree,Other computer and information sciences and support,Computer engineers (except software engineers and designers),2.36,/marketreport/summary-occupation/5402/ca,/5402/ca
Bachelor's degree,Other computer and information sciences and support,Administrative officers,2.02,/marketreport/summary-occupation/12462/ca,/12462/ca
Master's degree,Other computer and information sciences and support,Information systems analysts and consultants,18.01,/marketreport/summary-occupation/22510/ca,/22510/ca
Master's degree,Other computer and information sciences and support,Librarians,11.85,/marketreport/summary-occupation/5263/ca,/5263/ca
Master's degree,Other computer and information sciences and support,Computer programmers and interactive media developers,7.58,/marketreport/summary-occupation/22534/ca,/22534/ca
Master's degree,Other computer and information sciences and support,Computer engineers (except software engineers and designers),7.11,/marketreport/summary-occupation/5402/ca,/5402/ca
Master's degree,Other computer and information sciences and support,Computer network technicians,6.64,/marketreport/summary-occupation/24514/ca,/24514/ca
Master's degree,Other computer and information sciences and support,Software engineers and designers,5.69,/marketreport/summary-occupation/5482/ca,/5482/ca
Master's degree,Other computer and information sciences and support,Computer and information systems managers,3.32,/marketreport/summary-occupation/1433/ca,/1433/ca
Master's degree,Other computer and information sciences and support,Library and public archive technicians,2.84,/marketreport/summary-occupation/5498/ca,/5498/ca
Master's degree,Other computer and information sciences and support,Professional occupations in business management consulting,2.37,/marketreport/summary-occupation/310/ca,/310/ca
Master's degree,Other computer and information sciences and support,Web designers and developers,2.37,/marketreport/summary-occupation/24513/ca,/24513/ca
College/CEGEP,Physical sciences,Chemical technologists and technicians,5.13,/marketreport/summary-occupation/2974/ca,/2974/ca
College/CEGEP,Physical sciences,Retail salespersons,4.03,/marketreport/summary-occupation/20599/ca,/20599/ca
College/CEGEP,Physical sciences,Food and beverage servers,3.3,/marketreport/summary-occupation/6641/ca,/6641/ca
College/CEGEP,Physical sciences,Opticians,2.93,/marketreport/summary-occupation/4345/ca,/4345/ca
College/CEGEP,Physical sciences,Other medical technologists and technicians (except dental health),2.93,/marketreport/summary-occupation/4324/ca,/4324/ca
College/CEGEP,Physical sciences,Geological and mineral technologists and technicians,2.2,/marketreport/summary-occupation/3029/ca,/3029/ca
College/CEGEP,Physical sciences,"Store shelf stockers, clerks and order fillers",2.2,/marketreport/summary-occupation/14273/ca,/14273/ca
College/CEGEP,Physical sciences,Computer programmers and interactive media developers,2.2,/marketreport/summary-occupation/22534/ca,/22534/ca
College/CEGEP,Physical sciences,Retail and wholesale trade managers,1.83,/marketreport/summary-occupation/17600/ca,/17600/ca
College/CEGEP,Physical sciences,Chemists,1.83,/marketreport/summary-occupation/20049/ca,/20049/ca
Bachelor's degree,Physics,Post-secondary teaching and research assistants,10.26,/marketreport/summary-occupation/22848/ca,/22848/ca
Bachelor's degree,Physics,Secondary school teachers,6.67,/marketreport/summary-occupation/15904/ca,/15904/ca
Bachelor's degree,Physics,Computer programmers and interactive media developers,5.64,/marketreport/summary-occupation/22534/ca,/22534/ca
Bachelor's degree,Physics,Commissioned officers of the Canadian Armed Forces,4.62,/marketreport/summary-occupation/27129/ca,/27129/ca
Bachelor's degree,Physics,Physicists and astronomers,3.59,/marketreport/summary-occupation/2496/ca,/2496/ca
Bachelor's degree,Physics,Information systems analysts and consultants,3.59,/marketreport/summary-occupation/22510/ca,/22510/ca
Bachelor's degree,Physics,Professional occupations in business management consulting,2.05,/marketreport/summary-occupation/310/ca,/310/ca
Bachelor's degree,Physics,Corporate sales managers,1.54,/marketreport/summary-occupation/26635/ca,/26635/ca
Bachelor's degree,Physics,Paramedical occupations,1.54,/marketreport/summary-occupation/24525/ca,/24525/ca
Bachelor's degree,Physics,Electrical and electronics engineering technologists and technicians,1.54,/marketreport/summary-occupation/18010/ca,/18010/ca
Master's degree,Physics,Post-secondary teaching and research assistants,17.11,/marketreport/summary-occupation/22848/ca,/22848/ca
Master's degree,Physics,College and other vocational instructors,15.79,/marketreport/summary-occupation/22989/ca,/22989/ca
Master's degree,Physics,Physicists and astronomers,6.58,/marketreport/summary-occupation/2496/ca,/2496/ca
Master's degree,Physics,Computer programmers and interactive media developers,5.26,/marketreport/summary-occupation/22534/ca,/22534/ca
Master's degree,Physics,University professors and lecturers,3.95,/marketreport/summary-occupation/4707/ca,/4707/ca
Master's degree,Physics,"Natural and applied science policy researchers, consultants and program officers",3.95,/marketreport/summary-occupation/3855/ca,/3855/ca
Master's degree,Physics,Secondary school teachers,2.63,/marketreport/summary-occupation/15904/ca,/15904/ca
Other trades certificate or diploma,Technicians in Performing Arts,Photographers,29.41,/marketreport/summary-occupation/5514/ca,/5514/ca
Other trades certificate or diploma,Technicians in Performing Arts,"Advertising, marketing and public relations managers",17.65,/marketreport/summary-occupation/12360/ca,/12360/ca
College/CEGEP,Technicians in Performing Arts,"Producers, directors, choreographers and related occupations",6.35,/marketreport/summary-occupation/7910/ca,/7910/ca
College/CEGEP,Technicians in Performing Arts,Retail salespersons,5.6,/marketreport/summary-occupation/20599/ca,/20599/ca
College/CEGEP,Technicians in Performing Arts,Food and beverage servers,5.1,/marketreport/summary-occupation/6641/ca,/6641/ca
College/CEGEP,Technicians in Performing Arts,Photographers,4.51,/marketreport/summary-occupation/5514/ca,/5514/ca
College/CEGEP,Technicians in Performing Arts,Retail and wholesale trade managers,4.09,/marketreport/summary-occupation/17600/ca,/17600/ca
College/CEGEP,Technicians in Performing Arts,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",3.43,/marketreport/summary-occupation/21066/ca,/21066/ca
College/CEGEP,Technicians in Performing Arts,Actors and comedians,3.09,/marketreport/summary-occupation/16209/ca,/16209/ca
College/CEGEP,Technicians in Performing Arts,"Food counter attendants, kitchen helpers and related support occupations",2.67,/marketreport/summary-occupation/17215/ca,/17215/ca
College/CEGEP,Technicians in Performing Arts,"Support occupations in motion pictures, broadcasting, photography and the performing arts",2.51,/marketreport/summary-occupation/5623/ca,/5623/ca
College/CEGEP,Technicians in Performing Arts,Audio and video recording technicians,2.17,/marketreport/summary-occupation/5570/ca,/5570/ca
Bachelor's degree,Other visual and performing arts,"Producers, directors, choreographers and related occupations",6.33,/marketreport/summary-occupation/7910/ca,/7910/ca
Bachelor's degree,Other visual and performing arts,Food and beverage servers,4.83,/marketreport/summary-occupation/6641/ca,/6641/ca
Bachelor's degree,Other visual and performing arts,Retail salespersons,4.33,/marketreport/summary-occupation/20599/ca,/20599/ca
Bachelor's degree,Other visual and performing arts,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",3.33,/marketreport/summary-occupation/21066/ca,/21066/ca
Bachelor's degree,Other visual and performing arts,Actors and comedians,3.25,/marketreport/summary-occupation/16209/ca,/16209/ca
Bachelor's degree,Other visual and performing arts,"Professional occupations in advertising, marketing and public relations",2.83,/marketreport/summary-occupation/24813/ca,/24813/ca
Bachelor's degree,Other visual and performing arts,"Food counter attendants, kitchen helpers and related support occupations",2.75,/marketreport/summary-occupation/17215/ca,/17215/ca
Bachelor's degree,Other visual and performing arts,Graphic designers and illustrators,2.41,/marketreport/summary-occupation/5747/ca,/5747/ca
Bachelor's degree,Other visual and performing arts,Retail and wholesale trade managers,2.25,/marketreport/summary-occupation/17600/ca,/17600/ca
Bachelor's degree,Other visual and performing arts,Photographers,2.16,/marketreport/summary-occupation/5514/ca,/5514/ca
Master's degree,Other visual and performing arts,Secondary school teachers,9.01,/marketreport/summary-occupation/15904/ca,/15904/ca
Master's degree,Other visual and performing arts,"Producers, directors, choreographers and related occupations",8.11,/marketreport/summary-occupation/7910/ca,/7910/ca
Master's degree,Other visual and performing arts,"Painters, sculptors and other visual artists",8.11,/marketreport/summary-occupation/8055/ca,/8055/ca
Master's degree,Other visual and performing arts,Administrative officers,4.5,/marketreport/summary-occupation/12462/ca,/12462/ca
Master's degree,Other visual and performing arts,Graphic designers and illustrators,4.5,/marketreport/summary-occupation/5747/ca,/5747/ca
Master's degree,Other visual and performing arts,College and other vocational instructors,4.5,/marketreport/summary-occupation/22989/ca,/22989/ca
Master's degree,Other visual and performing arts,"Library, archive, museum and art gallery managers",3.6,/marketreport/summary-occupation/12279/ca,/12279/ca
Master's degree,Other visual and performing arts,Retail salespersons,3.6,/marketreport/summary-occupation/20599/ca,/20599/ca
Master's degree,Other visual and performing arts,Dancers,3.6,/marketreport/summary-occupation/8013/ca,/8013/ca
Master's degree,Other visual and performing arts,University professors and lecturers,3.6,/marketreport/summary-occupation/4707/ca,/4707/ca
College/CEGEP,"Business, management, marketing, and related support services, Other",Administrative assistants,6.33,/marketreport/summary-occupation/24789/ca,/24789/ca
College/CEGEP,"Business, management, marketing, and related support services, Other",Administrative officers,5.38,/marketreport/summary-occupation/12462/ca,/12462/ca
College/CEGEP,"Business, management, marketing, and related support services, Other",Retail salespersons,4.89,/marketreport/summary-occupation/20599/ca,/20599/ca
College/CEGEP,"Business, management, marketing, and related support services, Other",Retail and wholesale trade managers,4.58,/marketreport/summary-occupation/17600/ca,/17600/ca
College/CEGEP,"Business, management, marketing, and related support services, Other",General office support workers,4.05,/marketreport/summary-occupation/12609/ca,/12609/ca
College/CEGEP,"Business, management, marketing, and related support services, Other",Other customer and information services representatives,3.27,/marketreport/summary-occupation/15205/ca,/15205/ca
College/CEGEP,"Business, management, marketing, and related support services, Other",Accounting and related clerks,2.35,/marketreport/summary-occupation/14122/ca,/14122/ca
College/CEGEP,"Business, management, marketing, and related support services, Other",Receptionists,1.95,/marketreport/summary-occupation/24391/ca,/24391/ca
College/CEGEP,"Business, management, marketing, and related support services, Other",Other financial officers,1.85,/marketreport/summary-occupation/194/ca,/194/ca
College/CEGEP,"Business, management, marketing, and related support services, Other",Customer services representatives - financial institutions,1.73,/marketreport/summary-occupation/14140/ca,/14140/ca
Bachelor's degree,Business and commerce and administrations,Financial auditors and accountants,6.76,/marketreport/summary-occupation/131/ca,/131/ca
Bachelor's degree,Business and commerce and administrations,Other financial officers,4.65,/marketreport/summary-occupation/194/ca,/194/ca
Bachelor's degree,Business and commerce and administrations,Financial and investment analysts,3.49,/marketreport/summary-occupation/12421/ca,/12421/ca
Bachelor's degree,Business and commerce and administrations,Retail and wholesale trade managers,3.35,/marketreport/summary-occupation/17600/ca,/17600/ca
Bachelor's degree,Business and commerce and administrations,Business development officers and marketing researchers and consultants,2.93,/marketreport/summary-occupation/3916/ca,/3916/ca
Bachelor's degree,Business and commerce and administrations,"Professional occupations in advertising, marketing and public relations",2.91,/marketreport/summary-occupation/24813/ca,/24813/ca
Bachelor's degree,Business and commerce and administrations,Professional occupations in business management consulting,2.89,/marketreport/summary-occupation/310/ca,/310/ca
Bachelor's degree,Business and commerce and administrations,Administrative officers,2.62,/marketreport/summary-occupation/12462/ca,/12462/ca
Bachelor's degree,Business and commerce and administrations,"Advertising, marketing and public relations managers",2.57,/marketreport/summary-occupation/12360/ca,/12360/ca
Bachelor's degree,Business and commerce and administrations,Retail salespersons,2.54,/marketreport/summary-occupation/20599/ca,/20599/ca
Master's degree,Business and commerce and administrations,Professional occupations in business management consulting,7.62,/marketreport/summary-occupation/310/ca,/310/ca
Master's degree,Business and commerce and administrations,"Banking, credit and other investment managers",3.9,/marketreport/summary-occupation/17461/ca,/17461/ca
Master's degree,Business and commerce and administrations,Financial and investment analysts,3.76,/marketreport/summary-occupation/12421/ca,/12421/ca
Master's degree,Business and commerce and administrations,Business development officers and marketing researchers and consultants,3.72,/marketreport/summary-occupation/3916/ca,/3916/ca
Master's degree,Business and commerce and administrations,Information systems analysts and consultants,3.65,/marketreport/summary-occupation/22510/ca,/22510/ca
Master's degree,Business and commerce and administrations,Financial auditors and accountants,3.62,/marketreport/summary-occupation/131/ca,/131/ca
Master's degree,Business and commerce and administrations,"Advertising, marketing and public relations managers",3.54,/marketreport/summary-occupation/12360/ca,/12360/ca
Master's degree,Business and commerce and administrations,Other financial officers,3.37,/marketreport/summary-occupation/194/ca,/194/ca
Master's degree,Business and commerce and administrations,Financial managers,2.98,/marketreport/summary-occupation/1225/ca,/1225/ca
Master's degree,Business and commerce and administrations,Corporate sales managers,2.8,/marketreport/summary-occupation/26635/ca,/26635/ca
College/CEGEP,Other Medical Technologists and Technicians,Medical laboratory technologists,12.31,/marketreport/summary-occupation/4187/ca,/4187/ca
College/CEGEP,Other Medical Technologists and Technicians,Opticians,8.45,/marketreport/summary-occupation/4345/ca,/4345/ca
College/CEGEP,Other Medical Technologists and Technicians,Medical laboratory technicians and pathologists' assistants,6.79,/marketreport/summary-occupation/4210/ca,/4210/ca
College/CEGEP,Other Medical Technologists and Technicians,Other medical technologists and technicians (except dental health),4.97,/marketreport/summary-occupation/4324/ca,/4324/ca
College/CEGEP,Other Medical Technologists and Technicians,Physiotherapists,3.79,/marketreport/summary-occupation/18214/ca,/18214/ca
College/CEGEP,Other Medical Technologists and Technicians,Other technical occupations in therapy and assessment,2.45,/marketreport/summary-occupation/4430/ca,/4430/ca
College/CEGEP,Other Medical Technologists and Technicians,"Nurse aides, orderlies and patient service associates",2.29,/marketreport/summary-occupation/15798/ca,/15798/ca
College/CEGEP,Other Medical Technologists and Technicians,Registered nurses and registered psychiatric nurses,2.29,/marketreport/summary-occupation/696/ca,/696/ca
College/CEGEP,Other Medical Technologists and Technicians,Other assisting occupations in support of health services,2.13,/marketreport/summary-occupation/4565/ca,/4565/ca
College/CEGEP,Other Medical Technologists and Technicians,Food and beverage servers,2.05,/marketreport/summary-occupation/6641/ca,/6641/ca
Bachelor's degree,Other health professions and related clinical sciences,Dietitians and nutritionists,10.16,/marketreport/summary-occupation/4138/ca,/4138/ca
Bachelor's degree,Other health professions and related clinical sciences,Registered nurses and registered psychiatric nurses,6.88,/marketreport/summary-occupation/696/ca,/696/ca
Bachelor's degree,Other health professions and related clinical sciences,Medical laboratory technologists,4.93,/marketreport/summary-occupation/4187/ca,/4187/ca
Bachelor's degree,Other health professions and related clinical sciences,"Health policy researchers, consultants and program officers",3.7,/marketreport/summary-occupation/23040/ca,/23040/ca
Bachelor's degree,Other health professions and related clinical sciences,Social and community service workers,3.29,/marketreport/summary-occupation/5112/ca,/5112/ca
Bachelor's degree,Other health professions and related clinical sciences,Allied primary health practitioners,2.67,/marketreport/summary-occupation/25524/ca,/25524/ca
Bachelor's degree,Other health professions and related clinical sciences,Post-secondary teaching and research assistants,2.26,/marketreport/summary-occupation/22848/ca,/22848/ca
Bachelor's degree,Other health professions and related clinical sciences,Retail salespersons,2.05,/marketreport/summary-occupation/20599/ca,/20599/ca
Bachelor's degree,Other health professions and related clinical sciences,Administrative officers,1.85,/marketreport/summary-occupation/12462/ca,/12462/ca
Bachelor's degree,Other health professions and related clinical sciences,Medical radiation technologists,1.85,/marketreport/summary-occupation/18254/ca,/18254/ca
Master's degree,Other health professions and related clinical sciences,Specialist physicians,13.64,/marketreport/summary-occupation/3972/ca,/3972/ca
Master's degree,Other health professions and related clinical sciences,General practitioners and family physicians,12.68,/marketreport/summary-occupation/24433/ca,/24433/ca
Master's degree,Other health professions and related clinical sciences,"Health policy researchers, consultants and program officers",7.66,/marketreport/summary-occupation/23040/ca,/23040/ca
Master's degree,Other health professions and related clinical sciences,"Family, marriage and other related counsellors",7.18,/marketreport/summary-occupation/2265/ca,/2265/ca
Master's degree,Other health professions and related clinical sciences,Managers in health care,5.02,/marketreport/summary-occupation/1708/ca,/1708/ca
Master's degree,Other health professions and related clinical sciences,Registered nurses and registered psychiatric nurses,3.35,/marketreport/summary-occupation/696/ca,/696/ca
Master's degree,Other health professions and related clinical sciences,Post-secondary teaching and research assistants,3.11,/marketreport/summary-occupation/22848/ca,/22848/ca
Master's degree,Other health professions and related clinical sciences,Psychologists,2.87,/marketreport/summary-occupation/2218/ca,/2218/ca
Master's degree,Other health professions and related clinical sciences,Social workers,2.39,/marketreport/summary-occupation/23025/ca,/23025/ca
Master's degree,Other health professions and related clinical sciences,Dietitians and nutritionists,2.15,/marketreport/summary-occupation/4138/ca,/4138/ca
College/CEGEP,Education,Instructors of persons with disabilities,28.15,/marketreport/summary-occupation/5198/ca,/5198/ca
College/CEGEP,Education,Elementary and secondary school teacher assistants,19.62,/marketreport/summary-occupation/16551/ca,/16551/ca
College/CEGEP,Education,Early childhood educators and assistants,10.13,/marketreport/summary-occupation/5180/ca,/5180/ca
College/CEGEP,Education,Social and community service workers,9.73,/marketreport/summary-occupation/5112/ca,/5112/ca
College/CEGEP,Education,Elementary school and kindergarten teachers,2.47,/marketreport/summary-occupation/2204/ca,/2204/ca
College/CEGEP,Education,"Nurse aides, orderlies and patient service associates",1.59,/marketreport/summary-occupation/15798/ca,/15798/ca
College/CEGEP,Education,Retail salespersons,1.52,/marketreport/summary-occupation/20599/ca,/20599/ca
College/CEGEP,Education,Administrative assistants,1.28,/marketreport/summary-occupation/24789/ca,/24789/ca
College/CEGEP,Education,Food and beverage servers,1.28,/marketreport/summary-occupation/6641/ca,/6641/ca
College/CEGEP,Education,"Program leaders and instructors in recreation, sport and fitness",1.28,/marketreport/summary-occupation/21211/ca,/21211/ca
Bachelor's degree,Education,Elementary school and kindergarten teachers,53.93,/marketreport/summary-occupation/2204/ca,/2204/ca
Bachelor's degree,Education,Secondary school teachers,20.64,/marketreport/summary-occupation/15904/ca,/15904/ca
Bachelor's degree,Education,Early childhood educators and assistants,3.73,/marketreport/summary-occupation/5180/ca,/5180/ca
Bachelor's degree,Education,College and other vocational instructors,1.07,/marketreport/summary-occupation/22989/ca,/22989/ca
Bachelor's degree,Education,Retail salespersons,0.97,/marketreport/summary-occupation/20599/ca,/20599/ca
Bachelor's degree,Education,Food and beverage servers,0.84,/marketreport/summary-occupation/6641/ca,/6641/ca
Bachelor's degree,Education,Administrative officers,0.59,/marketreport/summary-occupation/12462/ca,/12462/ca
Bachelor's degree,Education,Social and community service workers,0.59,/marketreport/summary-occupation/5112/ca,/5112/ca
Bachelor's degree,Education,"Education policy researchers, consultants and program officers",0.58,/marketreport/summary-occupation/16030/ca,/16030/ca
Bachelor's degree,Education,Elementary and secondary school teacher assistants,0.58,/marketreport/summary-occupation/16551/ca,/16551/ca
Master's degree,Education,Elementary school and kindergarten teachers,35.92,/marketreport/summary-occupation/2204/ca,/2204/ca
Master's degree,Education,Secondary school teachers,20.76,/marketreport/summary-occupation/15904/ca,/15904/ca
Master's degree,Education,School principals and administrators of elementary and secondary education,5.09,/marketreport/summary-occupation/1748/ca,/1748/ca
Master's degree,Education,Educational counsellors,4.98,/marketreport/summary-occupation/24445/ca,/24445/ca
Master's degree,Education,College and other vocational instructors,3.39,/marketreport/summary-occupation/22989/ca,/22989/ca
Master's degree,Education,"Education policy researchers, consultants and program officers",2.88,/marketreport/summary-occupation/16030/ca,/16030/ca
Master's degree,Education,University professors and lecturers,1.58,/marketreport/summary-occupation/4707/ca,/4707/ca
Master's degree,Education,Administrators - post-secondary education and vocational training,1.47,/marketreport/summary-occupation/25120/ca,/25120/ca
Master's degree,Education,Social and community service workers,1.3,/marketreport/summary-occupation/5112/ca,/5112/ca
Master's degree,Education,Post-secondary teaching and research assistants,1.24,/marketreport/summary-occupation/22848/ca,/22848/ca
Other trades certificate or diploma,"Human development, family studies and related services",Early childhood educators and assistants,46.55,/marketreport/summary-occupation/5180/ca,/5180/ca
Other trades certificate or diploma,"Human development, family studies and related services",Home child care providers,6.9,/marketreport/summary-occupation/24770/ca,/24770/ca
Other trades certificate or diploma,"Human development, family studies and related services",Light duty cleaners,3.45,/marketreport/summary-occupation/14309/ca,/14309/ca
College/CEGEP,"Human development, family studies and related services",Early childhood educators and assistants,58.8,/marketreport/summary-occupation/5180/ca,/5180/ca
College/CEGEP,"Human development, family studies and related services",Social and community service workers,5.81,/marketreport/summary-occupation/5112/ca,/5112/ca
College/CEGEP,"Human development, family studies and related services",Elementary and secondary school teacher assistants,3.95,/marketreport/summary-occupation/16551/ca,/16551/ca
College/CEGEP,"Human development, family studies and related services",Home child care providers,2.42,/marketreport/summary-occupation/24770/ca,/24770/ca
College/CEGEP,"Human development, family studies and related services",Retail salespersons,1.89,/marketreport/summary-occupation/20599/ca,/20599/ca
College/CEGEP,"Human development, family studies and related services","Nurse aides, orderlies and patient service associates",1.74,/marketreport/summary-occupation/15798/ca,/15798/ca
College/CEGEP,"Human development, family studies and related services",Elementary school and kindergarten teachers,1.42,/marketreport/summary-occupation/2204/ca,/2204/ca
College/CEGEP,"Human development, family studies and related services",Food and beverage servers,1.36,/marketreport/summary-occupation/6641/ca,/6641/ca
College/CEGEP,"Human development, family studies and related services","Managers in social, community and correctional services",1.24,/marketreport/summary-occupation/1801/ca,/1801/ca
College/CEGEP,"Human development, family studies and related services","Food counter attendants, kitchen helpers and related support occupations",1.03,/marketreport/summary-occupation/17215/ca,/17215/ca
Bachelor's degree,Family and consumer sciences/human sciences,Dietitians and nutritionists,16.14,/marketreport/summary-occupation/4138/ca,/4138/ca
Bachelor's degree,Family and consumer sciences/human sciences,Social and community service workers,7.96,/marketreport/summary-occupation/5112/ca,/5112/ca
Bachelor's degree,Family and consumer sciences/human sciences,Early childhood educators and assistants,7.75,/marketreport/summary-occupation/5180/ca,/5180/ca
