link,province,regulation
/16851/ca,Nova Scotia,Regulated
/16851/ca,Nunavut,Regulated
/16851/ca,Ontario,Regulated
/16851/ca,Tool And Gauge Inspector,Ontario College of Trades
/16851/ca,Tool And Gauge Inspector,Ontario College of Trades
/16851/ca,Prince Edward Island,Regulated
/16851/ca,Québec,Regulated
/16851/ca,"Machinist - Doors And Windows, Furniture And Kitchen Cabinets Sector",Emploi Québec
/16851/ca,Machinist,Emploi Québec
/16851/ca,Mouldmaking Machinist,Emploi Québec
/16851/ca,Saskatchewan,Regulated
/16851/ca,Yukon,Regulated
/24852/ca,Alberta,Regulated
/24852/ca,Electroencephalography Technologist,Alberta College of Medical Diagnostic and Therapeutic Technologists
/24852/ca,New Brunswick,Regulated
/17904/ca,Alberta,Regulated
/17904/ca,Timber Scaler,"Alberta Agriculture and Forestry, Government of Alberta"
/17904/ca,British Columbia,Regulated
/17904/ca,Applied Science Technologist (forest Engineering),Association of British Columbia Forest Professionals
/17904/ca,Log Scaler - Coastal,"Ministry of Forests, Lands, and Natural Resource of British Columbia"
/17904/ca,Log Scaler - Interior,"Ministry of Forests, Lands, and Natural Resource of British Columbia"
/17904/ca,Manitoba,Regulated
/17904/ca,New Brunswick,Regulated
/17904/ca,Newfoundland and Labrador,Regulated
/17904/ca,Nova Scotia,Regulated
/17904/ca,Ontario,Regulated
/17904/ca,Québec,Regulated
/17904/ca,Saskatchewan,Regulated
/17904/ca,Yukon,Regulated
/4332/ca,Alberta,Regulated
/4332/ca,British Columbia,Regulated
/4332/ca,Manitoba,Regulated
/4332/ca,New Brunswick,Regulated
/4332/ca,Newfoundland and Labrador,Regulated
/4332/ca,Northwest Territories,Regulated
/4332/ca,Nova Scotia,Regulated
/4332/ca,Nunavut,Regulated
/4332/ca,Ontario,Regulated
/4332/ca,Prince Edward Island,Regulated
/4332/ca,Québec,Regulated
/4332/ca,Saskatchewan,Regulated
/24514/ca,British Columbia,Regulated
/24514/ca,Certified Technician (information Technology),Applied Science Technologists and Technicians of British Columbia
/24514/ca,Manitoba,Regulated
/24514/ca,Saskatchewan,Regulated
/16247/ca,,
/3233/ca,Alberta,Regulated
/3233/ca,Professional Technologist (mechanical Engineering),Association of Science and Engineering Technology Professionals
/3233/ca,British Columbia,Regulated
/3233/ca,Certified Technician (marine),Applied Science Technologists and Technicians of British Columbia
/3233/ca,Applied Science Technologists (mechanical),Applied Science Technologists and Technicians of British Columbia
/3233/ca,Certified Technician (mechanical),Applied Science Technologists and Technicians of British Columbia
/3233/ca,Manitoba,Regulated
/3233/ca,New Brunswick,Regulated
/3233/ca,Nova Scotia,Regulated
/3233/ca,Ontario,Regulated
/3233/ca,Mould Designer,Ontario College of Trades
/3233/ca,Prince Edward Island,Regulated
/3233/ca,Québec,Regulated
/3233/ca,Saskatchewan,Regulated
/7929/ca,,
/6366/ca,Alberta,Regulated
/6366/ca,Ironworker- Metal Building Systems Erector,"Apprenticeship and Industry Training Office, Government of Alberta"
/6366/ca,Ironworker- Reinforcing,"Apprenticeship and Industry Training Office, Government of Alberta"
/6366/ca,Ironworker- Structural/ornemental,"Apprenticeship and Industry Training Office, Government of Alberta"
/6366/ca,British Columbia,Regulated
/6366/ca,Ironworker (structural/ornamental),Industry Training Authority British Columbia
/6366/ca,Manitoba,Regulated
/6366/ca,New Brunswick,Regulated
/6366/ca,Ironworker (reinforcing),"Apprenticeship and Occupational Certification, Government of New Brunswick"
/6366/ca,Ironworker (structural/ornamental),"Apprenticeship and Occupational Certification, Government of New Brunswick"
/6366/ca,Newfoundland and Labrador,Regulated
/6366/ca,Ironworker (reinforcing),"Apprenticeship and Trades Certification Division, Departmant of Advanced Education and Skills of Newfoundland and Labrador"
/6366/ca,Ironworker (structural/ornamental),"Apprenticeship and Trades Certification Division, Departmant of Advanced Education and Skills of Newfoundland and Labrador"
/6366/ca,Nova Scotia,Regulated
/6366/ca,Ironworker (reinforcing),Nova Scotia Apprenticeship Agency
/6366/ca,Ironworker (structural/ornamental),Nova Scotia Apprenticeship Agency
/6366/ca,Ontario,Regulated
/6366/ca,Ironworker (structural/ornamental),Ontario College of Trades
/6366/ca,Precast Concrete Erector,Ontario College of Trades
/6366/ca,Reinforcing Roadworker,Ontario College of Trades
/6366/ca,Precast Concrete Finisher,Ontario College of Trades
/6366/ca,Prince Edward Island,Regulated
/6366/ca,Ironworker (reinforcing),"Apprenticeship Training and Skilled Trade Certification, Government of Prince Edward Island"
/6366/ca,Ironworker (structural/ornamental),"Apprenticeship Training and Skilled Trade Certification, Government of Prince Edward Island"
/6366/ca,Québec,Regulated
/6366/ca,Saskatchewan,Regulated
/6366/ca,Ironworker (structural/ornamental),Saskatchewan Apprenticeship and Trade Certification Commission
/665/ca,,
/15798/ca,,
/16505/ca,,
/617/ca,,
/17691/ca,Alberta,Regulated
/17691/ca,Investment Dealer And Broker,Alberta Securities Commission
/17691/ca,British Columbia,Regulated
/17691/ca,Securities Associate,British Columbia Securities Commission
/17691/ca,Securities Dealer,British Columbia Securities Commission
/17691/ca,Manitoba,Regulated
/17691/ca,Commodities Advisor,Manitoba Securities Commission
/17691/ca,Commodities Merchant,Manitoba Securities Commission
/17691/ca,Floor Broker,Manitoba Securities Commission
/17691/ca,Futures Commission Merchant,Manitoba Securities Commission
/17691/ca,Scholarship Plan Dealer,Manitoba Securities Commission
/17691/ca,Investment Dealer,Manitoba Securities Commission
/17691/ca,Mutual Fund Dealer,Manitoba Securities Commission
/17691/ca,Securities Advisor,Manitoba Securities Commission
/17691/ca,Dealing Representative (securities),Manitoba Securities Commission
/17691/ca,Advising Representative (securities),Manitoba Securities Commission
/17691/ca,Associate Advising Representative (securities),Manitoba Securities Commission
/17691/ca,Ultimate Designated Person (securities),Manitoba Securities Commission
/17691/ca,Chief Compliance Officer (securities),Manitoba Securities Commission
/17691/ca,Sales Person (commodities),Manitoba Securities Commission
/17691/ca,Adviser (commodities),Manitoba Securities Commission
/17691/ca,Floor Broker (commodities),Manitoba Securities Commission
/17691/ca,New Brunswick,Regulated
/17691/ca,Investment Dealer And Broker,New Brunswick Securities Commission
/17691/ca,Newfoundland and Labrador,Regulated
/17691/ca,Investment Dealers And Brokers,"Financial Services Regulation Division, Government of Newfoundland and Labrador"
/17691/ca,Northwest Territories,Regulated
/17691/ca,Investment Dealer And Broker,Office of the Superintendent of Securities of the Northwest Territories
/17691/ca,Nova Scotia,Regulated
/17691/ca,Nunavut,Regulated
/17691/ca,Investment Dealer And Broker,"Registrar of Securities, Legal Registries Division, Dept. of Justice"
/17691/ca,Ontario,Regulated
/17691/ca,Investment Dealer,Ontario Securities Commission
/17691/ca,Securities Agent,Ontario Securities Commission
/17691/ca,Prince Edward Island,Regulated
/17691/ca,Investment Dealers And Brokers,"Securities Office, Office of the Attorney General of Prince Edward Island"
/17691/ca,Québec,Regulated
/17691/ca,Investment Dealer And Broker,Autorité des marchés financiers du Québec
/17691/ca,Saskatchewan,Regulated
/17691/ca,Salesperson (investment),Saskatchewan Financial Services Commission
/17691/ca,Salesperson (mutual Funds),Saskatchewan Financial Services Commission
/17691/ca,Salesperson (scholarship Plan),Saskatchewan Financial Services Commission
/17691/ca,Yukon,Regulated
/17691/ca,Investment Dealers And Brokers,Office of the Yukon Superintendent of Securities
/5198/ca,,
/15962/ca,,
/6175/ca,Alberta,Regulated
/6175/ca,Special Broker,Alberta Insurance Council
/6175/ca,British Columbia,Regulated
/6175/ca,Insurance Agent,Insurance Council of British Columbia
/6175/ca,Manitoba,Regulated
/6175/ca,Insurance Broker,Insurance Council of Manitoba
/6175/ca,Nova Scotia,Regulated
/6175/ca,Ontario,Regulated
/6175/ca,Insurance Broker,Registered Insurance Brokers of Ontario
/6175/ca,Saskatchewan,Regulated
/6175/ca,Yukon,Regulated
/6175/ca,Insurance Broker,"Professional Licensing and Regulatory Affairs, Government of Yukon"
/6175/ca,Insurance Salesperson,"Professional Licensing and Regulatory Affairs, Government of Yukon"
/24325/ca,Alberta,Regulated
/24325/ca,Québec,Regulated
/1575/ca,Alberta,Regulated
/1575/ca,Prince Edward Island,Regulated
/1575/ca,Québec,Regulated
/18196/ca,Alberta,Regulated
/18196/ca,British Columbia,Regulated
/18196/ca,Manitoba,Regulated
/18196/ca,New Brunswick,Regulated
/18196/ca,Newfoundland and Labrador,Regulated
/18196/ca,Northwest Territories,Regulated
/18196/ca,Nova Scotia,Regulated
/18196/ca,Nunavut,Regulated
/18196/ca,Ontario,Regulated
/18196/ca,Prince Edward Island,Regulated
/18196/ca,Québec,Regulated
/18196/ca,Saskatchewan,Regulated
/18196/ca,Yukon,Regulated
/24813/ca,,
/6279/ca,,
/1225/ca,,
/16455/ca,Manitoba,Regulated
/21211/ca,British Columbia,Regulated
/21211/ca,Manitoba,Regulated
/21211/ca,Québec,Regulated
/21211/ca,Saskatchewan,Regulated
/4383/ca,Alberta,Regulated
/4383/ca,British Columbia,Regulated
/4383/ca,Manitoba,Regulated
/4383/ca,New Brunswick,Regulated
/4383/ca,Newfoundland and Labrador,Regulated
/4383/ca,Northwest Territories,Regulated
/4383/ca,Nova Scotia,Regulated
/4383/ca,Nunavut,Regulated
/4383/ca,Ontario,Regulated
/4383/ca,Prince Edward Island,Regulated
/4383/ca,Québec,Regulated
/4383/ca,Saskatchewan,Regulated
/4383/ca,Yukon,Regulated
/2139/ca,,
/22437/ca,Alberta,Regulated
/22437/ca,British Columbia,Regulated
/22437/ca,Manitoba,Regulated
/22437/ca,New Brunswick,Regulated
/22437/ca,Newfoundland and Labrador,Regulated
/22437/ca,Northwest Territories,Regulated
/22437/ca,Nova Scotia,Regulated
/22437/ca,Nunavut,Regulated
/22437/ca,Ontario,Regulated
/22437/ca,Prince Edward Island,Regulated
/22437/ca,Québec,Regulated
/22437/ca,Saskatchewan,Regulated
/22437/ca,Yukon,Regulated
/4138/ca,Alberta,Regulated
/4138/ca,British Columbia,Regulated
/4138/ca,Manitoba,Regulated
/4138/ca,New Brunswick,Regulated
/4138/ca,Newfoundland and Labrador,Regulated
/4138/ca,Nova Scotia,Regulated
/4138/ca,Ontario,Regulated
/4138/ca,Prince Edward Island,Regulated
/4138/ca,Québec,Regulated
/4138/ca,Saskatchewan,Regulated
/6438/ca,Alberta,Regulated
/6438/ca,British Columbia,Regulated
/6438/ca,Manitoba,Regulated
/6438/ca,New Brunswick,Regulated
/6438/ca,Newfoundland and Labrador,Regulated
/6438/ca,Stonemason,"Apprenticeship and Trades Certification Division, Departmant of Advanced Education and Skills of Newfoundland and Labrador"
/6438/ca,Nova Scotia,Regulated
/6438/ca,Restoration Stone Mason,Nova Scotia Apprenticeship Agency
/6438/ca,Ontario,Regulated
/6438/ca,Refractory Mason,Ontario College of Trades
/6438/ca,Renovation Mason,Ontario College of Trades
/6438/ca,Prince Edward Island,Regulated
/6438/ca,Québec,Regulated
/6438/ca,Saskatchewan,Regulated
/6438/ca,Yukon,Regulated
/25792/ca,,
/27060/ca,,
/27262/ca,Alberta,Regulated
/27262/ca,British Columbia,Regulated
/27262/ca,New Brunswick,Regulated
/27262/ca,Newfoundland and Labrador,Regulated
/27262/ca,Nova Scotia,Regulated
/27262/ca,Ontario,Regulated
/27262/ca,Powered Lift Truck Technician,Ontario College of Trades
/27262/ca,Prince Edward Island,Regulated
/17013/ca,Alberta,Regulated
/17013/ca,British Columbia,Regulated
/17013/ca,New Brunswick,Regulated
/17013/ca,Newfoundland and Labrador,Regulated
/17013/ca,Nova Scotia,Regulated
/17013/ca,Ontario,Regulated
/17013/ca,Prince Edward Island,Regulated
/17013/ca,Québec,Regulated
/17013/ca,Saskatchewan,Regulated
/18214/ca,Alberta,Regulated
/18214/ca,British Columbia,Regulated
/18214/ca,Manitoba,Regulated
/18214/ca,School Clinician - Physiotherapist,"Professional Certification and Student Records Unit, Government of Manitoba"
/18214/ca,New Brunswick,Regulated
/18214/ca,Newfoundland and Labrador,Regulated
/18214/ca,Nova Scotia,Regulated
/18214/ca,Ontario,Regulated
/18214/ca,Prince Edward Island,Regulated
/18214/ca,Québec,Regulated
/18214/ca,Physical Rehabilitation Therapist,Ordre professionnel de la physiothérapie du Québec
/18214/ca,Saskatchewan,Regulated
/18214/ca,Yukon,Regulated
/3806/ca,,
/14478/ca,,
/7776/ca,Alberta,Regulated
/7776/ca,British Columbia,Regulated
/7776/ca,Manitoba,Regulated
/7776/ca,Generator Installer/repairer,Manitoba Office of the Fire Commissioner
/7776/ca,New Brunswick,Regulated
/7776/ca,Newfoundland and Labrador,Regulated
/7776/ca,Nova Scotia,Regulated
/7776/ca,Ontario,Regulated
/7776/ca,Prince Edward Island,Regulated
/7776/ca,Québec,Regulated
/7776/ca,Yukon,Regulated
/310/ca,Alberta,Regulated
/310/ca,Manitoba,Regulated
/24789/ca,,
/5432/ca,Alberta,Regulated
/5432/ca,British Columbia,Regulated
/5432/ca,Nunavut,Regulated
/5432/ca,Ontario,Regulated
/22469/ca,Alberta,Regulated
/22469/ca,Manitoba,Regulated
/22469/ca,Nova Scotia,Regulated
/22469/ca,Ontario,Regulated
/22469/ca,Québec,Regulated
/22469/ca,Saskatchewan,Regulated
/8694/ca,,
/3029/ca,Alberta,Regulated
/3029/ca,Professional Engineering Technologist (geoscience),Association of Science and Engineering Technology Professionals
/3029/ca,British Columbia,Regulated
/3029/ca,Certified Technician (metallurgical),Applied Science Technologists and Technicians of British Columbia
/3029/ca,Applied Science Technologists (mineral Resources),Applied Science Technologists and Technicians of British Columbia
/3029/ca,Certified Technician (mineral Resources),Applied Science Technologists and Technicians of British Columbia
/3029/ca,Certified Assaryers,"BCIT Assayers Certification, British Columbia Geological Survey"
/3029/ca,Manitoba,Regulated
/3029/ca,New Brunswick,Regulated
/3029/ca,Ontario,Regulated
/3029/ca,Québec,Regulated
/3029/ca,Saskatchewan,Regulated
/3029/ca,Applied Science Technician (geological And Mineral),Saskatchewan Applied Science Technologists and Technicians
/3273/ca,,
/295864/ca,Prince Edward Island,Regulated
/295864/ca,Sewage Disposal Contractor,"Department of Environment, Labour and Justice"
/295864/ca,Sewage Disposal Site Assessor,"Department of Environment, Labour and Justice"
/22989/ca,New Brunswick,Regulated
/3916/ca,,
/5813/ca,,
/20599/ca,British Columbia,Regulated
/20599/ca,Ontario,Regulated
/20599/ca,Lumber And Building Materials Retailer,Ontario College of Trades
/20599/ca,Motor Vehicle Saleperson,Ontario Motor Vehicle Industry Council
/20599/ca,Québec,Regulated
/20678/ca,Alberta,Regulated
/20678/ca,British Columbia,Regulated
/20678/ca,Full Entertainment Field Safety Representative,British Columbia Safety Authority
/20678/ca,Limited Entertainment Field Safety Representative,British Columbia Safety Authority
/20678/ca,Low Energy Systems Field Safety Representative,British Columbia Safety Authority
/20678/ca,Underground Raceway Installer,British Columbia Safety Authority
/20678/ca,Manitoba,Regulated
/20678/ca,Security Systems Installation Specialist Electrician,Manitoba Office of the Fire Commissioner
/20678/ca,Deep Well Pump Installer/repairer,Manitoba Office of the Fire Commissioner
/20678/ca,New Brunswick,Regulated
/20678/ca,Newfoundland and Labrador,Regulated
/20678/ca,Residential Electrician,"Apprenticeship and Trades Certification Division, Departmant of Advanced Education and Skills of Newfoundland and Labrador"
/20678/ca,Northwest Territories,Regulated
/20678/ca,Nova Scotia,Regulated
/20678/ca,Nunavut,Regulated
/20678/ca,Ontario,Regulated
/20678/ca,Electrician-domestic And Rural,Ontario College of Trades
/20678/ca,Prince Edward Island,Regulated
/20678/ca,Québec,Regulated
